instance,features,values,scores,target_label
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
0        0.0  -0.337904   1.207933   0.982865   0.734809  -0.501791   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
0  -0.407648  -0.122381  -0.055763   0.945108  ...  -0.540805  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
0  -0.026389  -0.301406   1.446284   0.214653   -0.78477   1.071722   

   pixel_7_6  pixel_7_7  
0   3.531256   4.465164  

[1 rows x 64 columns]","['pixel_3_2', 'pixel_5_4', 'pixel_3_3', 'pixel_4_4', 'pixel_3_0', 'pixel_2_0', 'pixel_1_0', 'pixel_3_7', 'pixel_7_0', 'pixel_2_4']","[-1.4610783217942955, 1.163847146293675, -1.4968234430593916, 0.9574542311900363, -0.026388990698462983, -0.03733266964732845, -0.05576317482402748, -0.0457389353746345, -0.0263889906984631, -0.3407651311364692]","[0.08816360699570039, -0.0721805979085842, -0.07185023476167908, -0.07140449184250088, -0.06263931473688603, 0.05730345030913702, 0.04988746794159656, 0.039348607842391393, 0.033353408133901266, -0.024103530185154633]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
1        0.0    0.74354   2.044059    0.51658  -2.317664  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
1  -0.407648  -0.122381  -0.055763   1.259342  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
1  -0.026389   0.732295   1.835955   0.894073    0.03703  -0.974422   

   pixel_7_6  pixel_7_7  
1  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_3_7', 'pixel_3_0', 'pixel_1_0', 'pixel_7_0', 'pixel_4_6', 'pixel_2_0', 'pixel_3_4', 'pixel_3_3', 'pixel_4_1', 'pixel_5_7']","[-0.0457389353746345, -0.026388990698462983, -0.05576317482402748, -0.0263889906984631, -0.834989193608077, -0.03733266964732845, 0.8239570206667475, 0.8812144648193765, -0.6762261434446151, -0.0961539066298463]","[0.1684932766515641, 0.1300230230007316, -0.1263145108786119, 0.11773608618601013, 0.10792352809772461, 0.08869109062147307, 0.08161813768781294, 0.08026618863505702, 0.07354082789134989, 0.06218532066253441]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
2        0.0   1.824985   1.625996   0.982865  -0.439219  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
2  -0.407648  -0.122381  -0.055763   3.144747  ...   0.490428  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
2  -0.026389   0.732295   1.446284   0.894073   0.858829   1.583258   

   pixel_7_6  pixel_7_7  
2   3.531256   1.557587  

[1 rows x 64 columns]","['pixel_3_2', 'pixel_3_0', 'pixel_4_4', 'pixel_3_7', 'pixel_2_0', 'pixel_3_3', 'pixel_7_0', 'pixel_5_0', 'pixel_2_4', 'pixel_4_5']","[-1.3005362244997243, -0.026388990698462983, 0.7897888972611937, -0.0457389353746345, -0.03733266964732845, -1.1571037419338532, -0.0263889906984631, -0.05806465198722751, 1.4299365216821271, -1.1441641420075916]","[0.09686186492650503, 0.0826208568337397, -0.07609920843162633, 0.07485496805667735, 0.0741399269666352, -0.07239491388219715, 0.05195519548922506, -0.04540069920024666, 0.04202237534992072, 0.041514793358542385]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
3        0.0  -0.337904   0.789869  -1.115417  -2.787275  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
3  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
3  -0.026389  -0.301406   0.277271   0.441126   0.858829    0.90121   

   pixel_7_6  pixel_7_7  
3  -0.245849  -0.186959  

[1 rows x 64 columns]","['pixel_3_0', 'pixel_2_0', 'pixel_2_2', 'pixel_3_2', 'pixel_4_1', 'pixel_3_3', 'pixel_7_0', 'pixel_3_7', 'pixel_1_7', 'pixel_5_0']","[-0.026388990698462983, -0.03733266964732845, 0.9095434254680826, 1.1075952349188443, 0.7574371320495009, -1.3269635924966223, -0.0263889906984631, -0.0457389353746345, -0.12605859208882483, -0.05806465198722751]","[-0.1229194553251709, 0.12178717148194787, -0.11541638619686165, -0.09323486922738172, 0.08914842708840001, 0.08888793894115009, -0.06506758581936949, 0.06388352819854101, 0.0469311292376363, -0.029083739683461837]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
4        0.0  -0.337904  -0.464321   0.283438  -1.378441  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
4  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
4  -0.026389  -0.301406  -0.502071   0.214653   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
4  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_2_2', 'pixel_3_2', 'pixel_3_3', 'pixel_3_0', 'pixel_5_0', 'pixel_0_7', 'pixel_2_0', 'pixel_6_0', 'pixel_5_2']","[-0.0263889906984631, 0.9095434254680826, 0.7865110403297019, -1.4968234430593916, -0.026388990698462983, -0.05806465198722751, -0.12238102150342442, -0.03733266964732845, -0.03963009454234691, 1.3851554198334621]","[-0.21184283729016795, -0.13223248387383627, -0.10424863654493731, 0.10342428819254959, 0.08285269305756321, 0.0697003674481548, 0.061436373819594915, -0.06001194592092395, 0.0595001307227217, 0.04061524130636471]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
5        0.0  -0.337904  -0.046258   0.982865   0.030392  -0.678265   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
5  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
5  -0.026389  -0.301406   0.082436  -0.238293   -2.42837  -1.144934   

   pixel_7_6  pixel_7_7  
5  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_7_4', 'pixel_6_5', 'pixel_5_0', 'pixel_7_5', 'pixel_0_5', 'pixel_2_1', 'pixel_3_2', 'pixel_2_0', 'pixel_3_0']","[-0.0263889906984631, -2.428369912334688, -1.4595926520598348, -0.05806465198722751, -1.1449341114947411, -0.6782651958247984, -0.7229612307769555, -1.139994127205153, -0.03733266964732845, -0.026388990698462983]","[-0.3559645995213065, 0.18456830509885966, 0.09071198222039227, 0.0827282126457884, -0.04981918130389905, -0.04414248692560115, 0.03890500322353194, -0.03884438169575534, -0.03312606250142119, 0.024137836135387145]",7
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
6        0.0  -0.337904  -1.091416   -0.41599   0.265198  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
6  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
6  -0.026389  -0.301406  -0.891742  -1.597133   -0.99022   1.412746   

   pixel_7_6  pixel_7_7  
6     1.5168  -0.186959  

[1 rows x 64 columns]","['pixel_3_7', 'pixel_2_0', 'pixel_5_4', 'pixel_3_3', 'pixel_2_5', 'pixel_3_0', 'pixel_7_0', 'pixel_3_2', 'pixel_6_0', 'pixel_5_7']","[-0.0457389353746345, -0.03733266964732845, 1.3234166863398549, 1.2209341659449149, -0.6184149914030973, -0.026388990698462983, -0.0263889906984631, -0.9794520299105817, -0.03963009454234691, -0.0961539066298463]","[-0.15595288044318445, -0.07899424694844526, 0.05943433216435919, 0.04254135750563137, 0.04037010232719473, 0.03942242822155681, 0.03549415323347714, 0.03394283287381273, -0.031164956339043554, 0.030342231045154912]",1
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
7        0.0  -0.337904  -0.673353   -0.41599   0.265198   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
7   0.499616  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
7  -0.026389  -0.301406  -0.696907   -0.01182   0.858829   1.242234   

   pixel_7_6  pixel_7_7  
7  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_3_7', 'pixel_7_0', 'pixel_4_6', 'pixel_2_0', 'pixel_3_2', 'pixel_6_0', 'pixel_0_5', 'pixel_4_1', 'pixel_6_7', 'pixel_4_5']","[-0.0457389353746345, -0.0263889906984631, 1.416191803042592, -0.03733266964732845, -0.497825738026868, -0.03963009454234691, 1.0864769486623194, -0.6762261434446151, -0.19745099779252528, 0.5510249208493102]","[-0.2101330922407856, -0.20150376880206203, 0.1541024662741912, -0.125043825313375, -0.11669472427980238, 0.08966903800495045, 0.07221990225923648, 0.06050450010689515, -0.05279905094757594, 0.050612922516288246]",9
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
8        0.0  -0.337904   0.998901    0.51658  -0.439219  -0.854739   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
8  -0.407648  -0.122381  -0.055763   0.630874  ...   0.696674  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
8  -0.026389  -0.301406   1.251449   0.894073   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
8  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_4_1', 'pixel_4_6', 'pixel_3_7', 'pixel_6_0', 'pixel_3_4', 'pixel_3_2', 'pixel_3_3', 'pixel_3_0', 'pixel_2_5']","[-0.0263889906984631, -0.6762261434446151, -0.834989193608077, -0.0457389353746345, -0.03963009454234691, 0.8239570206667475, 1.1075952349188443, 0.20177506256829994, -0.026388990698462983, -0.13509609583769622]","[-0.15830350668262014, 0.12185413514612976, 0.11171209176429145, 0.10605132564135193, 0.08777357345470871, 0.08339958017086221, 0.07857860147680261, -0.06942565007002016, 0.06595518246537119, -0.06459499594723236]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
9        0.0  -0.337904   2.044059   0.283438   0.030392   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
9   0.197195  -0.122381  -0.055763   0.630874  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
9  -0.026389   0.732295   1.835955   0.894073   -1.60657  -1.144934   

   pixel_7_6  pixel_7_7  
9  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_3_4', 'pixel_3_7', 'pixel_3_2', 'pixel_7_4', 'pixel_2_0', 'pixel_0_7', 'pixel_6_0', 'pixel_3_0', 'pixel_4_6']","[-0.0263889906984631, -1.6083072330269994, -0.0457389353746345, 0.3048847484459882, -1.6065700738831254, -0.03733266964732845, -0.12238102150342442, -0.03963009454234691, -0.026388990698462983, -0.834989193608077]","[-0.31291613289697057, 0.1403844188693602, -0.04818094717539079, -0.04413260995120933, -0.04126682988410659, 0.04099185604301654, 0.038299227633903844, -0.029786895366544955, 0.0269815839721059, 0.024714722017945327]",0
