instance,features,values,scores,target_label
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
0        0.0  -0.337904   1.207933   0.982865   0.734809  -0.501791   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
0  -0.407648  -0.122381  -0.055763   0.945108  ...  -0.540805  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
0  -0.026389  -0.301406   1.446284   0.214653   -0.78477   1.071722   

   pixel_7_6  pixel_7_7  
0   3.531256   4.465164  

[1 rows x 64 columns]","['pixel_6_0', 'pixel_7_0', 'pixel_2_0', 'pixel_7_7', 'pixel_6_4', 'pixel_2_1', 'pixel_0_3', 'pixel_2_4', 'pixel_2_5', 'pixel_3_0']","[-0.03963009454234691, -0.0263889906984631, -0.03733266964732845, 4.4651642504963505, 1.2277178471022394, 0.11756893801469914, 0.9828647877837581, -0.3407651311364692, 1.1537542923367066, -0.026388990698462983]","[-0.8714668981017982, -0.813426597650254, -0.8115519180485036, 0.005110539226593696, 0.0021903892118303398, 0.0020638781607611252, 0.0012944775651025303, 0.0010872827053456566, 0.0010039177300489397, -0.0002034061120924859]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
1        0.0    0.74354   2.044059    0.51658  -2.317664  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
1  -0.407648  -0.122381  -0.055763   1.259342  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
1  -0.026389   0.732295   1.835955   0.894073    0.03703  -0.974422   

   pixel_7_6  pixel_7_7  
1  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_1_6', 'pixel_7_1', 'pixel_0_1', 'pixel_2_6', 'pixel_2_4', 'pixel_6_2', 'pixel_2_2', 'pixel_5_4', 'pixel_7_0', 'pixel_3_0']","[0.05019793386721544, 0.7322948908673449, 0.7435400892714469, 0.3830365070997726, -0.823683763723359, 1.3082588850576364, 1.0862624495889095, 1.0042776062474952, -0.0263889906984631, -0.026388990698462983]","[0.0027018794157370506, 0.002587785984453202, 0.0023132900187584795, 0.002094741906345831, 0.001608946795284576, 0.001587219614767421, 0.0015286763880483646, 0.0013266979998264854, 0.00019897080424903879, -9.448616214433819e-05]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
2        0.0   1.824985   1.625996   0.982865  -0.439219  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
2  -0.407648  -0.122381  -0.055763   3.144747  ...   0.490428  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
2  -0.026389   0.732295   1.446284   0.894073   0.858829   1.583258   

   pixel_7_6  pixel_7_7  
2   3.531256   1.557587  

[1 rows x 64 columns]","['pixel_2_0', 'pixel_6_0', 'pixel_7_0', 'pixel_3_1', 'pixel_7_7', 'pixel_5_2', 'pixel_7_1', 'pixel_0_7', 'pixel_3_7', 'pixel_3_0']","[-0.03733266964732845, -0.03963009454234691, -0.0263889906984631, -0.4725269984061381, 1.5575872032046811, -0.75546193584403, 0.7322948908673449, -0.12238102150342442, -0.0457389353746345, -0.026388990698462983]","[-0.8124029315990529, -0.7938263100280359, -0.6495261318269646, 0.008311098937825154, 0.006528091605251105, 0.003068517743891605, 0.0025579808190744464, 0.001659549624926644, 0.001508019526851158, 0.0009161811598449163]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
3        0.0  -0.337904   0.789869  -1.115417  -2.787275  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
3  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
3  -0.026389  -0.301406   0.277271   0.441126   0.858829    0.90121   

   pixel_7_6  pixel_7_7  
3  -0.245849  -0.186959  

[1 rows x 64 columns]","['pixel_7_6', 'pixel_6_2', 'pixel_5_2', 'pixel_5_4', 'pixel_5_6', 'pixel_3_2', 'pixel_6_6', 'pixel_5_1', 'pixel_6_5', 'pixel_7_0']","[-0.24584915160693718, 1.4844673411292293, 1.3851554198334621, 0.046860365970416075, 1.517792866766986, 1.1075952349188443, 1.5216610283819219, 1.1297397454917488, -0.2981305456544968, -0.0263889906984631]","[0.0028144838035715296, 0.0015283600661633258, 0.001466890908356368, 0.001415203497167549, 0.0013997489530283259, 0.001390503033897775, 0.0013700568598137362, 0.0012788162785399057, 0.0012111088208735113, 0.0005879605125666635]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
4        0.0  -0.337904  -0.464321   0.283438  -1.378441  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
4  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
4  -0.026389  -0.301406  -0.502071   0.214653   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
4  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_4_1', 'pixel_5_6', 'pixel_0_2', 'pixel_4_5', 'pixel_4_6', 'pixel_2_2', 'pixel_7_2', 'pixel_6_6', 'pixel_5_2', 'pixel_5_4']","[0.47070447695067774, 1.9802265251034978, -0.46432088692208257, 0.7205438271350004, -0.27219394444540973, 0.9095434254680826, -0.5020709802454605, 1.5216610283819219, 1.3851554198334621, -1.0701264143528428]","[0.0016339459981027208, 0.0015695755871465767, 0.00152308404816505, 0.0014753764179665375, 0.0013523103349244385, 0.0013481936185483592, 0.0013280182439924446, 0.001311031541551284, 0.0012874356371726922, 0.0012216961975583583]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
5        0.0  -0.337904  -0.046258   0.982865   0.030392  -0.678265   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
5  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
5  -0.026389  -0.301406   0.082436  -0.238293   -2.42837  -1.144934   

   pixel_7_6  pixel_7_7  
5  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_3_6', 'pixel_5_2', 'pixel_1_4', 'pixel_4_2', 'pixel_0_3', 'pixel_7_2', 'pixel_1_0', 'pixel_3_5', 'pixel_2_0', 'pixel_3_7']","[-0.09370305228588123, -0.6025606961527805, 1.1708539528112176, 0.8517221000507667, 0.9828647877837581, 0.08243563488772343, -0.05576317482402748, 1.110538070970404, -0.03733266964732845, -0.0457389353746345]","[0.0019588424866400084, 0.0019373309286085149, 0.0015041696192681557, 0.0014238401266900643, 0.001410184935454836, 0.001391797444508726, 0.0013444097206571938, 0.0012987988641312163, 0.0007598144570958677, 0.0006892882526882151]",7
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
6        0.0  -0.337904  -1.091416   -0.41599   0.265198  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
6  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
6  -0.026389  -0.301406  -0.891742  -1.597133   -0.99022   1.412746   

   pixel_7_6  pixel_7_7  
6     1.5168  -0.186959  

[1 rows x 64 columns]","['pixel_3_5', 'pixel_2_4', 'pixel_7_6', 'pixel_6_4', 'pixel_3_3', 'pixel_1_4', 'pixel_2_3', 'pixel_6_2', 'pixel_7_0', 'pixel_3_0']","[-0.0896018576814324, 1.4299365216821271, 1.5167998975834986, 1.2277178471022394, 1.2209341659449149, 1.1708539528112176, 1.5538083129459637, 0.42721660469967243, -0.0263889906984631, -0.026388990698462983]","[0.0015921295293430966, 0.0015128503385089518, 0.001501345507944955, 0.0014361716296495736, 0.0014257463760351862, 0.0014183951924983083, 0.0012637869106518907, 0.0012428364816440636, -0.0005575900953624543, -0.00040946728504516103]",1
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
7        0.0  -0.337904  -0.673353   -0.41599   0.265198   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
7   0.499616  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
7  -0.026389  -0.301406  -0.696907   -0.01182   0.858829   1.242234   

   pixel_7_6  pixel_7_7  
7  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_6_0', 'pixel_1_0', 'pixel_5_0', 'pixel_3_7', 'pixel_3_0', 'pixel_2_0', 'pixel_7_0', 'pixel_5_7', 'pixel_7_2', 'pixel_0_5']","[-0.03963009454234691, -0.05576317482402748, -0.05806465198722751, -0.0457389353746345, -0.026388990698462983, -0.03733266964732845, -0.0263889906984631, -0.0961539066298463, -0.6969065186231884, 1.0864769486623194]","[0.917372522039812, 0.9078233345494329, 0.8946867098941224, 0.8798673797733733, 0.7520965527890661, 0.7132696392897615, 0.7033528602555064, -0.0057713093907560105, 0.0014980666376083849, 0.0002952409165838946]",9
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
8        0.0  -0.337904   0.998901    0.51658  -0.439219  -0.854739   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
8  -0.407648  -0.122381  -0.055763   0.630874  ...   0.696674  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
8  -0.026389  -0.301406   1.251449   0.894073   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
8  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_3_1', 'pixel_5_3', 'pixel_6_2', 'pixel_2_1', 'pixel_0_2', 'pixel_0_5', 'pixel_7_2', 'pixel_6_1', 'pixel_3_2', 'pixel_3_5']","[-0.4725269984061381, -0.19117233290465546, 1.3082588850576364, 0.9580991068063538, 0.9989008554179013, -0.8547394102735101, 1.2514488651540912, 1.2641835199785318, 1.1075952349188443, -1.1182932250972921]","[0.005029981044637673, 0.0016256092269453632, 0.0015546584519017187, 0.0014632204869274312, 0.0013957370008477383, 0.0013663760836712389, 0.0013662820285889876, 0.0013456138790029569, 0.001296670952669092, 0.0011160270109411023]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
9        0.0  -0.337904   2.044059   0.283438   0.030392   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
9   0.197195  -0.122381  -0.055763   0.630874  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
9  -0.026389   0.732295   1.835955   0.894073   -1.60657  -1.144934   

   pixel_7_6  pixel_7_7  
9  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_1', 'pixel_2_2', 'pixel_0_2', 'pixel_1_2', 'pixel_0_5', 'pixel_7_2', 'pixel_6_2', 'pixel_1_1', 'pixel_0_4', 'pixel_5_4']","[0.7322948908673449, 1.0862624495889095, 2.044059242803604, 1.0254055928766488, 1.0864769486623194, 1.8359554802872748, -0.4538256756582917, 0.6308737034020504, 0.030392375955057123, -0.27227871412194365]","[0.0023935592856218512, 0.00155251832768942, 0.0013811518410251366, 0.0013803715726830386, 0.001357864696503624, 0.0013048665122500026, 0.0013020468007351198, 0.0012966210757588785, 0.0012827364960666936, 0.0012437149755676223]",5
