instance,features,values,scores,target_label
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
0        0.0  -0.337904   1.207933   0.982865   0.734809  -0.501791   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
0  -0.407648  -0.122381  -0.055763   0.945108  ...  -0.540805  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
0  -0.026389  -0.301406   1.446284   0.214653   -0.78477   1.071722   

   pixel_7_6  pixel_7_7  
0   3.531256   4.465164  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_7_7', 'pixel_7_6', 'pixel_3_2', 'pixel_5_5', 'pixel_6_3', 'pixel_3_3', 'pixel_2_0', 'pixel_1_0', 'pixel_3_0']","[-0.0263889906984631, 4.4651642504963505, 3.531255953801139, -1.4610783217942955, -1.4582977690537675, 1.2227611302640529, -1.4968234430593916, -0.03733266964732845, -0.05576317482402748, -0.026388990698462983]","[-0.35816228080302853, 0.1737249675697607, 0.15288593087842386, 0.128892403927335, 0.10160001429853359, 0.09929502273335049, 0.07006853127923714, 0.0539077372169293, 0.041009111870618405, 0.03100874006112077]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
1        0.0    0.74354   2.044059    0.51658  -2.317664  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
1  -0.407648  -0.122381  -0.055763   1.259342  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
1  -0.026389   0.732295   1.835955   0.894073    0.03703  -0.974422   

   pixel_7_6  pixel_7_7  
1  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_3_3', 'pixel_4_3', 'pixel_7_7', 'pixel_5_3', 'pixel_3_0', 'pixel_1_4', 'pixel_6_3', 'pixel_7_2', 'pixel_6_2']","[-0.0263889906984631, 0.8812144648193765, 1.1117819283740598, -0.18695902517032026, 0.8940435230140408, -0.026388990698462983, -2.153047032870411, -1.0646431798111615, 1.8359554802872748, 1.3082588850576364]","[0.20883400622200163, 0.1455180115013402, 0.12353669653700028, 0.11917416915202897, 0.1062305162209837, -0.08139473895785118, 0.07567895963577623, 0.06574528326378795, -0.06148842011359038, 0.059429961941207296]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
2        0.0   1.824985   1.625996   0.982865  -0.439219  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
2  -0.407648  -0.122381  -0.055763   3.144747  ...   0.490428  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
2  -0.026389   0.732295   1.446284   0.894073   0.858829   1.583258   

   pixel_7_6  pixel_7_7  
2   3.531256   1.557587  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_7_7', 'pixel_3_2', 'pixel_7_6', 'pixel_2_0', 'pixel_6_3', 'pixel_4_5', 'pixel_5_5', 'pixel_3_3', 'pixel_3_0']","[-0.0263889906984631, 1.5575872032046811, -1.3005362244997243, 3.531255953801139, -0.03733266964732845, 1.2227611302640529, -1.1441641420075916, -1.4582977690537675, -1.1571037419338532, -0.026388990698462983]","[-0.22586593820291745, 0.20023159476243185, 0.14880879846855918, 0.13881927439175853, 0.09890784748546641, 0.08995577145823333, 0.08501726333878061, 0.08440020461378181, 0.0777156456723612, 0.0409744682058674]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
3        0.0  -0.337904   0.789869  -1.115417  -2.787275  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
3  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
3  -0.026389  -0.301406   0.277271   0.441126   0.858829    0.90121   

   pixel_7_6  pixel_7_7  
3  -0.245849  -0.186959  

[1 rows x 64 columns]","['pixel_5_2', 'pixel_3_5', 'pixel_3_0', 'pixel_4_2', 'pixel_2_7', 'pixel_0_4', 'pixel_2_4', 'pixel_5_6', 'pixel_4_1', 'pixel_3_4']","[1.3851554198334621, -1.289741786333269, -0.026388990698462983, 1.3273404903770434, -0.11565628382525205, -2.787274994846029, -1.1456295187812857, 1.517792866766986, 0.7574371320495009, -1.6083072330269994]","[0.03107246745727998, 0.0177609110940607, 0.01511931043861285, 0.01356989259295899, -0.012105582179874867, 0.011077280551347624, 0.010874944640037954, 0.01058992195894338, 0.009711890991975206, 0.009338848109468235]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
4        0.0  -0.337904  -0.464321   0.283438  -1.378441  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
4  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
4  -0.026389  -0.301406  -0.502071   0.214653   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
4  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_5_2', 'pixel_6_0', 'pixel_3_5', 'pixel_5_6', 'pixel_2_4', 'pixel_3_4', 'pixel_1_5', 'pixel_0_4', 'pixel_2_0', 'pixel_3_0']","[1.3851554198334621, -0.03963009454234691, -1.289741786333269, 1.9802265251034978, -1.1456295187812857, -1.6083072330269994, -1.3612586560607807, -1.378441309445486, -0.03733266964732845, -0.026388990698462983]","[0.03094008909771351, -0.029007911713593043, 0.018211903670361445, 0.00835072487987486, 0.007980555871798809, 0.00768729936352426, 0.007410672175483295, 0.007225781637834264, 0.004134421907470637, -0.003218582598231845]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
5        0.0  -0.337904  -0.046258   0.982865   0.030392  -0.678265   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
5  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
5  -0.026389  -0.301406   0.082436  -0.238293   -2.42837  -1.144934   

   pixel_7_6  pixel_7_7  
5  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_4', 'pixel_6_0', 'pixel_6_5', 'pixel_0_7', 'pixel_2_2', 'pixel_7_7', 'pixel_6_2', 'pixel_3_7', 'pixel_2_0', 'pixel_5_0']","[-2.428369912334688, -0.03963009454234691, -1.4595926520598348, -0.12238102150342442, -1.7412419363443192, -0.18695902517032026, -1.3348679560162557, -0.0457389353746345, -0.03733266964732845, -0.05806465198722751]","[0.1322643130326324, -0.07071265840437, 0.05974800159447748, -0.0367149805013617, 0.030852998219174872, 0.030132533669904805, 0.027622918867600647, 0.02527836713181814, 0.019387945746060946, 0.016277654772012713]",7
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
6        0.0  -0.337904  -1.091416   -0.41599   0.265198  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
6  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
6  -0.026389  -0.301406  -0.891742  -1.597133   -0.99022   1.412746   

   pixel_7_6  pixel_7_7  
6     1.5168  -0.186959  

[1 rows x 64 columns]","['pixel_2_4', 'pixel_7_7', 'pixel_1_2', 'pixel_1_4', 'pixel_5_0', 'pixel_2_3', 'pixel_6_3', 'pixel_0_3', 'pixel_3_3', 'pixel_6_7']","[1.4299365216821271, -0.18695902517032026, -1.9069483115288126, 1.1708539528112176, -0.05806465198722751, 1.5538083129459637, 1.2227611302640529, -0.41598965267044513, 1.2209341659449149, -0.19745099779252528]","[0.09907256799313176, -0.07149618094592552, 0.061422969393148154, 0.061027206280265485, -0.06099586919638256, 0.06099340098375027, 0.05728224443260826, 0.037885310351679885, 0.03305173415795954, -0.03296087642869436]",1
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
7        0.0  -0.337904  -0.673353   -0.41599   0.265198   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
7   0.499616  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
7  -0.026389  -0.301406  -0.696907   -0.01182   0.858829   1.242234   

   pixel_7_6  pixel_7_7  
7  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_2_5', 'pixel_3_5', 'pixel_5_2', 'pixel_7_0', 'pixel_7_7', 'pixel_5_4', 'pixel_3_6', 'pixel_3_7', 'pixel_6_0', 'pixel_3_0']","[1.314860590858507, 1.110538070970404, -0.9083631755352793, -0.0263889906984631, -0.18695902517032026, -1.2296959543990227, 0.7190813710630803, -0.0457389353746345, -0.03963009454234691, -0.026388990698462983]","[0.06881759115917639, 0.055176474245230804, 0.05291576603113271, 0.049216459643842546, 0.03561881295231851, 0.0344490858008949, 0.03222136183191416, 0.03207428500837552, 0.02981214976181446, 0.02844663350931095]",9
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
8        0.0  -0.337904   0.998901    0.51658  -0.439219  -0.854739   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
8  -0.407648  -0.122381  -0.055763   0.630874  ...   0.696674  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
8  -0.026389  -0.301406   1.251449   0.894073   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
8  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_3_3', 'pixel_7_0', 'pixel_4_3', 'pixel_5_3', 'pixel_4_4', 'pixel_7_7', 'pixel_5_7', 'pixel_2_5', 'pixel_6_3', 'pixel_7_2']","[0.20177506256829994, -0.0263889906984631, 1.1117819283740598, -0.19117233290465546, 0.7897888972611937, -0.18695902517032026, -0.0961539066298463, -0.13509609583769622, -1.8271112831695662, 1.2514488651540912]","[-0.131862535696312, 0.1315388889819189, 0.12613421047986267, -0.11629600430478274, 0.111638960862159, 0.09620336161195829, 0.06931644938780644, -0.06551129788530516, 0.06467706043630787, -0.05486377686387318]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
9        0.0  -0.337904   2.044059   0.283438   0.030392   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
9   0.197195  -0.122381  -0.055763   0.630874  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
9  -0.026389   0.732295   1.835955   0.894073   -1.60657  -1.144934   

   pixel_7_6  pixel_7_7  
9  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_2_0', 'pixel_0_6', 'pixel_7_2', 'pixel_7_0', 'pixel_1_0', 'pixel_2_4', 'pixel_4_4', 'pixel_2_5', 'pixel_3_0', 'pixel_3_7']","[-0.03733266964732845, 0.19719464001796097, 1.8359554802872748, -0.0263889906984631, -0.05576317482402748, -1.1456295187812857, -1.725191111671445, -1.2628401854902986, -0.026388990698462983, -0.0457389353746345]","[-0.08512853292330669, 0.07017685401294356, 0.0697778900482741, 0.052881195330955436, 0.042880786405474075, 0.03994956234960027, 0.036631689018276625, -0.03585001216116297, 0.03215812330701272, 0.0297562749017875]",5
"    pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
10        0.0   2.906429   2.044059    0.51658  -1.613247  -1.031214   

    pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
10  -0.407648  -0.122381  -0.055763   3.773215  ...   2.346648  -0.197451   

    pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
10  -0.026389   2.799697   2.030791   0.894073   0.858829   1.412746   

    pixel_7_6  pixel_7_7  
10   0.761379  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_7_7', 'pixel_3_2', 'pixel_7_6', 'pixel_6_3', 'pixel_4_5', 'pixel_5_5', 'pixel_5_4', 'pixel_3_7', 'pixel_3_0']","[-0.0263889906984631, -0.18695902517032026, -1.4610783217942955, 0.7613788765018833, 1.0321441044244517, -1.4832019545789719, -1.4582977690537675, -0.9105568743066631, -0.0457389353746345, -0.026388990698462983]","[-0.24208971129735019, -0.17069016364386724, 0.14131399524069166, 0.13894370066127923, 0.09953615214643804, 0.09029241754599394, 0.0874179208821856, 0.02461135342223015, 0.017357273314390274, 0.01123934050711375]",2
