instance,features,values,scores,target_label
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
0        0.0  -0.337904   1.207933   0.982865   0.734809  -0.501791   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
0  -0.407648  -0.122381  -0.055763   0.945108  ...  -0.540805  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
0  -0.026389  -0.301406   1.446284   0.214653   -0.78477   1.071722   

   pixel_7_6  pixel_7_7  
0   3.531256   4.465164  

[1 rows x 64 columns]","['pixel_2_0', 'pixel_7_7', 'pixel_7_0', 'pixel_6_7', 'pixel_3_0', 'pixel_1_0', 'pixel_5_5', 'pixel_3_3', 'pixel_6_0', 'pixel_3_7']","[-0.03733266964732845, 4.4651642504963505, -0.0263889906984631, -0.19745099779252528, -0.026388990698462983, -0.05576317482402748, -1.4582977690537675, -1.4968234430593916, -0.03963009454234691, -0.0457389353746345]","[-0.18484203742930896, 0.17214481179308783, -0.1485776647703864, -0.1177267454082352, 0.0690102288139285, -0.056051344333575656, 0.048752052429394684, 0.048173284476493966, 0.046134155394267226, 0.025162981782813447]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
1        0.0    0.74354   2.044059    0.51658  -2.317664  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
1  -0.407648  -0.122381  -0.055763   1.259342  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
1  -0.026389   0.732295   1.835955   0.894073    0.03703  -0.974422   

   pixel_7_6  pixel_7_7  
1  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_5_7', 'pixel_5_0', 'pixel_4_3', 'pixel_4_5', 'pixel_2_7', 'pixel_6_7', 'pixel_3_3', 'pixel_4_6', 'pixel_3_7']","[-0.0263889906984631, -0.0961539066298463, -0.05806465198722751, 1.1117819283740598, -1.4832019545789719, -0.11565628382525205, -0.19745099779252528, 0.8812144648193765, -0.834989193608077, -0.0457389353746345]","[0.20982574772021864, 0.19509169696812145, 0.17324768448316916, 0.12586143397285748, 0.11554483066662324, 0.09560215575299827, 0.09008668707728532, 0.08644129187104868, 0.07500493684280861, 0.07164630109301809]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
2        0.0   1.824985   1.625996   0.982865  -0.439219  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
2  -0.407648  -0.122381  -0.055763   3.144747  ...   0.490428  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
2  -0.026389   0.732295   1.446284   0.894073   0.858829   1.583258   

   pixel_7_6  pixel_7_7  
2   3.531256   1.557587  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_7_7', 'pixel_6_7', 'pixel_2_0', 'pixel_1_0', 'pixel_5_5', 'pixel_5_0', 'pixel_4_5', 'pixel_3_2', 'pixel_3_0']","[-0.0263889906984631, 1.5575872032046811, -0.19745099779252528, -0.03733266964732845, -0.05576317482402748, -1.4582977690537675, -0.05806465198722751, -1.1441641420075916, -1.3005362244997243, -0.026388990698462983]","[-0.17678939602064042, 0.1379335037609015, -0.1250087295716069, -0.10453104745876696, -0.09181553454206148, 0.061864112072958145, 0.05736701506801682, 0.046889010697660695, 0.046003442806385, 0.028858374225401245]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
3        0.0  -0.337904   0.789869  -1.115417  -2.787275  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
3  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
3  -0.026389  -0.301406   0.277271   0.441126   0.858829    0.90121   

   pixel_7_6  pixel_7_7  
3  -0.245849  -0.186959  

[1 rows x 64 columns]","['pixel_5_7', 'pixel_1_5', 'pixel_5_0', 'pixel_6_6', 'pixel_5_6', 'pixel_3_5', 'pixel_2_4', 'pixel_4_2', 'pixel_2_0', 'pixel_3_0']","[-0.0961539066298463, -1.3612586560607807, -0.05806465198722751, 1.5216610283819219, 1.517792866766986, -1.289741786333269, -1.1456295187812857, 1.3273404903770434, -0.03733266964732845, -0.026388990698462983]","[-0.4440794624476289, 0.09163446483003293, 0.08287228962438141, 0.0753091898023193, 0.06276676801234217, 0.05698529665085643, 0.05386090935635914, 0.04784730776844777, 0.039472223589811214, 0.012030509166351462]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
4        0.0  -0.337904  -0.464321   0.283438  -1.378441  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
4  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
4  -0.026389  -0.301406  -0.502071   0.214653   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
4  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_5_7', 'pixel_1_5', 'pixel_6_6', 'pixel_3_5', 'pixel_3_4', 'pixel_1_4', 'pixel_1_0', 'pixel_2_4', 'pixel_5_6', 'pixel_5_0']","[-0.0961539066298463, -1.3612586560607807, 1.5216610283819219, -1.289741786333269, -1.6083072330269994, -1.7375594096602076, -0.05576317482402748, -1.1456295187812857, 1.9802265251034978, -0.05806465198722751]","[-0.3878998136972955, 0.08073383446364986, 0.0588554379891518, 0.04597037621352564, 0.04539453318680941, 0.040938092800011615, 0.040140752467382385, 0.03848993727131202, 0.038472636126043624, 0.034933127085637734]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
5        0.0  -0.337904  -0.046258   0.982865   0.030392  -0.678265   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
5  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
5  -0.026389  -0.301406   0.082436  -0.238293   -2.42837  -1.144934   

   pixel_7_6  pixel_7_7  
5  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_0_7', 'pixel_7_4', 'pixel_7_0', 'pixel_6_5', 'pixel_3_0', 'pixel_1_7', 'pixel_6_2', 'pixel_5_7', 'pixel_2_2', 'pixel_5_0']","[-0.12238102150342442, -2.428369912334688, -0.0263889906984631, -1.4595926520598348, -0.026388990698462983, -0.12605859208882483, -1.3348679560162557, -0.0961539066298463, -1.7412419363443192, -0.05806465198722751]","[-0.21824783720047, 0.10815101509377838, -0.08419021383946829, 0.07578150924725764, 0.06751451849853728, -0.06028585767749914, 0.04848595017053449, 0.03660704785291882, 0.036489365912569016, 0.03214651436415469]",7
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
6        0.0  -0.337904  -1.091416   -0.41599   0.265198  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
6  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
6  -0.026389  -0.301406  -0.891742  -1.597133   -0.99022   1.412746   

   pixel_7_6  pixel_7_7  
6     1.5168  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_2_4', 'pixel_2_3', 'pixel_6_4', 'pixel_6_7', 'pixel_5_0', 'pixel_5_4', 'pixel_3_3', 'pixel_6_0', 'pixel_3_7']","[-0.0263889906984631, 1.4299365216821271, 1.5538083129459637, 1.2277178471022394, -0.19745099779252528, -0.05806465198722751, 1.3234166863398549, 1.2209341659449149, -0.03963009454234691, -0.0457389353746345]","[-0.06727136975817025, 0.055668907642553146, 0.04818854306607741, 0.0434242368746031, -0.03626221866305708, 0.03404905908749206, 0.031520398334690496, 0.028415817301832604, 0.025183531202095467, 0.025175379943971617]",1
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
7        0.0  -0.337904  -0.673353   -0.41599   0.265198   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
7   0.499616  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
7  -0.026389  -0.301406  -0.696907   -0.01182   0.858829   1.242234   

   pixel_7_6  pixel_7_7  
7  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_3_7', 'pixel_5_0', 'pixel_3_5', 'pixel_1_0', 'pixel_3_0', 'pixel_2_0', 'pixel_4_4', 'pixel_5_2', 'pixel_1_7', 'pixel_2_5']","[-0.0457389353746345, -0.05806465198722751, 1.110538070970404, -0.05576317482402748, -0.026388990698462983, -0.03733266964732845, -1.725191111671445, -0.9083631755352793, -0.12605859208882483, 1.314860590858507]","[0.10615713030229224, 0.10500966528828883, 0.10292908830734236, 0.08253672741744897, -0.07844040342685359, 0.07539027842704038, 0.07114589379005293, 0.06843251296828984, -0.06138978321192387, 0.05828189990816128]",9
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
8        0.0  -0.337904   0.998901    0.51658  -0.439219  -0.854739   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
8  -0.407648  -0.122381  -0.055763   0.630874  ...   0.696674  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
8  -0.026389  -0.301406   1.251449   0.894073   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
8  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_5_7', 'pixel_6_7', 'pixel_5_0', 'pixel_4_3', 'pixel_4_5', 'pixel_3_7', 'pixel_4_4', 'pixel_6_4', 'pixel_2_0', 'pixel_6_0']","[-0.0961539066298463, -0.19745099779252528, -0.05806465198722751, 1.1117819283740598, -0.9746452357219014, -0.0457389353746345, 0.7897888972611937, -1.0491983236259836, -0.03733266964732845, -0.03963009454234691]","[0.1806095938924447, 0.14813924687387084, 0.13138349532524612, 0.12519139198193732, 0.11732965130759072, 0.11311472925550117, 0.11200588677718475, 0.07798201816422644, -0.061324041642174046, -0.02972483685904354]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
9        0.0  -0.337904   2.044059   0.283438   0.030392   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
9   0.197195  -0.122381  -0.055763   0.630874  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
9  -0.026389   0.732295   1.835955   0.894073   -1.60657  -1.144934   

   pixel_7_6  pixel_7_7  
9  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_1_0', 'pixel_6_0', 'pixel_3_7', 'pixel_7_2', 'pixel_0_6', 'pixel_0_2', 'pixel_5_0', 'pixel_0_5', 'pixel_7_1', 'pixel_3_0']","[-0.05576317482402748, -0.03963009454234691, -0.0457389353746345, 1.8359554802872748, 0.19719464001796097, 2.044059242803604, -0.05806465198722751, 1.0864769486623194, 0.7322948908673449, -0.026388990698462983]","[-0.10364630167403573, 0.08398412425801369, -0.07680651897398993, 0.06600332490629973, 0.06483195643505286, 0.06351960503376311, 0.05993251956061855, 0.055170604432210536, 0.04856659506260026, 0.014607367000657637]",5
