instance,features,values,scores,target_label
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
0        0.0  -0.337904   1.207933   0.982865   0.734809  -0.501791   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
0  -0.407648  -0.122381  -0.055763   0.945108  ...  -0.540805  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
0  -0.026389  -0.301406   1.446284   0.214653   -0.78477   1.071722   

   pixel_7_6  pixel_7_7  
0   3.531256   4.465164  

[1 rows x 64 columns]","['pixel_3_3', 'pixel_3_2', 'pixel_6_3', 'pixel_5_5', 'pixel_5_7', 'pixel_1_0', 'pixel_3_0', 'pixel_6_0', 'pixel_5_4', 'pixel_6_4']","[-1.4968234430593916, -1.4610783217942955, 1.2227611302640529, -1.4582977690537675, -0.0961539066298463, -0.05576317482402748, -0.026388990698462983, -0.03963009454234691, 1.163847146293675, 1.2277178471022394]","[0.14124039443996067, 0.11293444222080438, 0.10941323500963965, 0.10732531506601498, -0.10677922479250508, 0.09276131550854395, 0.08639599855070303, -0.07624070724116606, -0.06674908735852741, 0.06264294390091503]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
1        0.0    0.74354   2.044059    0.51658  -2.317664  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
1  -0.407648  -0.122381  -0.055763   1.259342  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
1  -0.026389   0.732295   1.835955   0.894073    0.03703  -0.974422   

   pixel_7_6  pixel_7_7  
1  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_1_0', 'pixel_2_0', 'pixel_6_3', 'pixel_7_2', 'pixel_4_3', 'pixel_1_4', 'pixel_5_2', 'pixel_6_4', 'pixel_7_0', 'pixel_3_0']","[-0.05576317482402748, -0.03733266964732845, -1.0646431798111615, 1.8359554802872748, 1.1117819283740598, -2.153047032870411, 1.2322541801422127, 1.2277178471022394, -0.0263889906984631, -0.026388990698462983]","[-0.216733492616005, -0.19626867853933297, 0.15014018326248416, -0.11361946512889887, 0.11109385304067455, 0.1013442183515431, 0.0951509160130041, -0.09492385525160572, 0.0823707271532414, 0.04338979959726359]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
2        0.0   1.824985   1.625996   0.982865  -0.439219  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
2  -0.407648  -0.122381  -0.055763   3.144747  ...   0.490428  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
2  -0.026389   0.732295   1.446284   0.894073   0.858829   1.583258   

   pixel_7_6  pixel_7_7  
2   3.531256   1.557587  

[1 rows x 64 columns]","['pixel_3_3', 'pixel_3_2', 'pixel_6_3', 'pixel_7_0', 'pixel_5_5', 'pixel_4_5', 'pixel_5_3', 'pixel_7_5', 'pixel_5_7', 'pixel_3_0']","[-1.1571037419338532, -1.3005362244997243, 1.2227611302640529, -0.0263889906984631, -1.4582977690537675, -1.1441641420075916, 1.2041051961336684, 1.5832579386127403, -0.0961539066298463, -0.026388990698462983]","[0.1365452138653301, 0.1301195179772813, 0.10923992811853692, 0.10011046780274549, 0.08551625191897501, 0.08313554225778286, 0.07585329955278784, 0.0681888749574197, -0.06771557085371065, -0.04627299663614144]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
3        0.0  -0.337904   0.789869  -1.115417  -2.787275  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
3  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
3  -0.026389  -0.301406   0.277271   0.441126   0.858829    0.90121   

   pixel_7_6  pixel_7_7  
3  -0.245849  -0.186959  

[1 rows x 64 columns]","['pixel_5_7', 'pixel_5_0', 'pixel_1_4', 'pixel_3_7', 'pixel_5_2', 'pixel_2_4', 'pixel_4_1', 'pixel_6_3', 'pixel_6_2', 'pixel_1_0']","[-0.0961539066298463, -0.05806465198722751, -2.153047032870411, -0.0457389353746345, 1.3851554198334621, -1.1456295187812857, 0.7574371320495009, -1.4458772314903638, 1.4844673411292293, -0.05576317482402748]","[-0.10992378456168607, -0.07530286033506119, 0.047347410321047244, 0.041832251644347965, 0.03425599114774044, 0.03215112866856032, 0.029262115740504725, -0.028299733084765157, 0.02679980423707846, -0.01902284391987424]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
4        0.0  -0.337904  -0.464321   0.283438  -1.378441  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
4  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
4  -0.026389  -0.301406  -0.502071   0.214653   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
4  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_7_0', 'pixel_5_7', 'pixel_1_4', 'pixel_2_4', 'pixel_1_0', 'pixel_5_2', 'pixel_1_5', 'pixel_6_2', 'pixel_2_0', 'pixel_6_7']","[-0.0263889906984631, -0.0961539066298463, -1.7375594096602076, -1.1456295187812857, -0.05576317482402748, 1.3851554198334621, -1.3612586560607807, 1.1320504289860436, -0.03733266964732845, -0.19745099779252528]","[-0.231441864581232, -0.11052096676861065, 0.04952911633680294, 0.028150038960191956, 0.024844242248358447, 0.023835866047544195, 0.02288742360450235, 0.019955729649561278, 0.01875831254075234, 0.01752382058411263]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
5        0.0  -0.337904  -0.046258   0.982865   0.030392  -0.678265   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
5  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
5  -0.026389  -0.301406   0.082436  -0.238293   -2.42837  -1.144934   

   pixel_7_6  pixel_7_7  
5  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_0_7', 'pixel_6_5', 'pixel_3_7', 'pixel_7_4', 'pixel_1_4', 'pixel_6_4', 'pixel_2_2', 'pixel_2_3', 'pixel_6_0', 'pixel_3_0']","[-0.12238102150342442, -1.4595926520598348, -0.0457389353746345, -2.428369912334688, 1.1708539528112176, -0.8594553093986318, -1.7412419363443192, -1.2080904679781643, -0.03963009454234691, -0.026388990698462983]","[-0.13358029596288146, 0.1046990413952219, 0.09734579614831212, 0.09581430401191952, 0.09387500105409545, 0.08254546001624266, 0.05949947996108746, 0.054432309816780905, -0.0414914942690326, 0.03188442703854008]",7
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
6        0.0  -0.337904  -1.091416   -0.41599   0.265198  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
6  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
6  -0.026389  -0.301406  -0.891742  -1.597133   -0.99022   1.412746   

   pixel_7_6  pixel_7_7  
6     1.5168  -0.186959  

[1 rows x 64 columns]","['pixel_2_3', 'pixel_1_2', 'pixel_2_4', 'pixel_7_7', 'pixel_6_0', 'pixel_6_7', 'pixel_1_4', 'pixel_3_7', 'pixel_6_4', 'pixel_7_0']","[1.5538083129459637, -1.9069483115288126, 1.4299365216821271, -0.18695902517032026, -0.03963009454234691, -0.19745099779252528, 1.1708539528112176, -0.0457389353746345, 1.2277178471022394, -0.0263889906984631]","[0.13910741746514868, 0.09700996440536183, 0.08764098212654468, -0.0795598846041577, 0.06432017726485181, -0.05211053341451786, 0.049189560052997745, 0.045709001269967325, 0.04405029930947815, -0.004486312594459067]",1
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
7        0.0  -0.337904  -0.673353   -0.41599   0.265198   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
7   0.499616  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
7  -0.026389  -0.301406  -0.696907   -0.01182   0.858829   1.242234   

   pixel_7_6  pixel_7_7  
7  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_6_7', 'pixel_2_5', 'pixel_5_2', 'pixel_5_4', 'pixel_4_4', 'pixel_3_5', 'pixel_6_0', 'pixel_0_3', 'pixel_2_7', 'pixel_3_7']","[-0.19745099779252528, 1.314860590858507, -0.9083631755352793, -1.2296959543990227, -1.725191111671445, 1.110538070970404, -0.03963009454234691, -0.41598965267044513, -0.11565628382525205, -0.0457389353746345]","[-0.07210341823521095, 0.06676999097337055, 0.06630084214925769, 0.06043755317839313, 0.05330517681223822, 0.051865183312536624, 0.045338260542298364, -0.04145012587707547, 0.03961972669434125, 0.019870336297940914]",9
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
8        0.0  -0.337904   0.998901    0.51658  -0.439219  -0.854739   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
8  -0.407648  -0.122381  -0.055763   0.630874  ...   0.696674  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
8  -0.026389  -0.301406   1.251449   0.894073   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
8  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_1_0', 'pixel_2_0', 'pixel_6_3', 'pixel_4_3', 'pixel_3_0', 'pixel_7_2', 'pixel_6_4', 'pixel_4_5', 'pixel_4_6', 'pixel_5_3']","[-0.05576317482402748, -0.03733266964732845, -1.8271112831695662, 1.1117819283740598, -0.026388990698462983, 1.2514488651540912, -1.0491983236259836, -0.9746452357219014, -0.834989193608077, -0.19117233290465546]","[-0.27311911280737516, -0.2478147747932093, 0.14448818038175718, 0.12530314248079438, 0.11034291987347095, -0.10540994389514685, 0.10364640571050732, 0.09404420750919568, 0.07668566015469677, -0.07109176580700942]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
9        0.0  -0.337904   2.044059   0.283438   0.030392   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
9   0.197195  -0.122381  -0.055763   0.630874  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
9  -0.026389   0.732295   1.835955   0.894073   -1.60657  -1.144934   

   pixel_7_6  pixel_7_7  
9  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_0_2', 'pixel_3_0', 'pixel_0_6', 'pixel_7_2', 'pixel_6_0', 'pixel_2_4', 'pixel_3_7', 'pixel_0_5', 'pixel_5_0', 'pixel_7_0']","[2.044059242803604, -0.026388990698462983, 0.19719464001796097, 1.8359554802872748, -0.03963009454234691, -1.1456295187812857, -0.0457389353746345, 1.0864769486623194, -0.05806465198722751, -0.0263889906984631]","[0.08709338479874393, 0.08329888197367696, 0.06693473970176293, 0.06638338803154302, 0.06584532775361407, 0.05524092746964406, -0.04992414051481466, 0.042570397651802185, -0.04227901821557552, 0.017658729462247988]",5
