instance,features,values,scores,target_label
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
0        0.0        0.0     0.6875        1.0     0.9375     0.1875   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
0        0.0        0.0        0.0     0.3125  ...     0.0625        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
0        0.0        0.0     0.8125     0.8125        0.5     0.8125   

   pixel_7_6  pixel_7_7  
0        1.0        0.5  

[1 rows x 64 columns]","['pixel_7_7', 'pixel_3_0', 'pixel_3_2', 'pixel_7_6', 'pixel_5_5', 'pixel_4_2', 'pixel_2_0', 'pixel_1_1', 'pixel_3_3', 'pixel_0_6']","[0.5, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.3125, 0.0, 0.0]","[0.05004547763350418, 0.03799602187292513, 0.03433310583444685, 0.03376288989525135, 0.03265425759828435, 0.029316324860156347, -0.022317157341473028, 0.020024872444308353, 0.019339454586454925, 0.017713101131624696]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
1        0.0      0.125     0.9375      0.875      0.125        0.0   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
1        0.0        0.0        0.0      0.375  ...        0.0        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
1        0.0   0.111111     0.9375        1.0       0.75     0.0625   

   pixel_7_6  pixel_7_7  
1        0.0        0.0  

[1 rows x 64 columns]","['pixel_5_2', 'pixel_4_6', 'pixel_2_0', 'pixel_7_0', 'pixel_1_0', 'pixel_7_7', 'pixel_4_5', 'pixel_5_0', 'pixel_6_2', 'pixel_6_0']","[0.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9375, 0.0]","[0.165447260708141, 0.15305050191088043, -0.1296270811089947, 0.11359756924042516, -0.10138553111731358, 0.08780069446375931, 0.07605227492779086, 0.07599101244964356, 0.06757957699660473, 0.03218778704385553]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
2        0.0       0.25     0.8125        1.0      0.625        0.0   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
2        0.0        0.0        0.0       0.75  ...      0.375        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
2        0.0   0.111111     0.8125        1.0        1.0        1.0   

   pixel_7_6  pixel_7_7  
2        1.0     0.1875  

[1 rows x 64 columns]","['pixel_3_2', 'pixel_7_7', 'pixel_5_5', 'pixel_7_6', 'pixel_4_2', 'pixel_4_5', 'pixel_5_3', 'pixel_3_3', 'pixel_1_1', 'pixel_3_0']","[0.0625, 0.1875, 0.0, 1.0, 0.0, 0.125, 0.9375, 0.125, 0.75, 0.0]","[0.034689973675153134, 0.03130960153301669, 0.029511394274338833, 0.027905795994812157, 0.025344582559296846, 0.022684028539508395, 0.022158195517969624, 0.020349557303623245, 0.018485805377915505, 0.012416226821495027]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
3        0.0        0.0     0.5625     0.4375        0.0        0.0   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
3        0.0        0.0        0.0        0.0  ...     0.6875        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
3        0.0        0.0     0.4375      0.875        1.0       0.75   

   pixel_7_6  pixel_7_7  
3     0.0625        0.0  

[1 rows x 64 columns]","['pixel_2_5', 'pixel_5_7', 'pixel_1_5', 'pixel_6_6', 'pixel_5_2', 'pixel_5_6', 'pixel_1_6', 'pixel_2_4', 'pixel_3_5', 'pixel_3_7']","[0.0, 0.0, 0.0, 0.6875, 1.0, 0.625, 0.0, 0.0, 0.0, 0.0]","[0.054201132521693535, -0.03543021465283179, 0.03179261712739367, 0.031228869210932358, 0.024544594185091997, 0.021509437583030984, 0.019576041194930716, 0.01869222092567338, 0.017758859230875706, -0.015036688604379757]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
4        0.0        0.0     0.1875     0.8125      0.375        0.0   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
4        0.0        0.0        0.0        0.0  ...     0.6875        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
4        0.0        0.0     0.1875     0.8125     0.9375        0.5   

   pixel_7_6  pixel_7_7  
4        0.0        0.0  

[1 rows x 64 columns]","['pixel_2_5', 'pixel_1_5', 'pixel_6_6', 'pixel_5_6', 'pixel_5_0', 'pixel_3_0', 'pixel_2_4', 'pixel_2_0', 'pixel_5_7', 'pixel_5_2']","[0.0, 0.0, 0.6875, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.056231581874331395, 0.03547829694908152, 0.03313113488390928, 0.030947243458580825, -0.028954629112915617, 0.027735993660715795, 0.025955767941253618, 0.022615293538105267, -0.02022677682655404, 0.018535163305154333]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
5        0.0        0.0     0.3125        1.0       0.75      0.125   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
5        0.0        0.0        0.0        0.0  ...        0.0        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
5        0.0        0.0      0.375     0.6875        0.0        0.0   

   pixel_7_6  pixel_7_7  
5        0.0        0.0  

[1 rows x 64 columns]","['pixel_6_5', 'pixel_3_0', 'pixel_7_5', 'pixel_6_6', 'pixel_7_0', 'pixel_7_4', 'pixel_0_7', 'pixel_0_6', 'pixel_1_7', 'pixel_2_0']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.04548277660618206, 0.039211551030850535, 0.03694907235347672, 0.020872452851061967, 0.02085341533792746, 0.020738921036429863, -0.017034604011914062, -0.01500197741763282, -0.014893545432853962, 0.008953332357061736]",7
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
6        0.0        0.0        0.0      0.625     0.8125        0.0   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
6        0.0        0.0        0.0        0.0  ...        0.0        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
6        0.0        0.0     0.0625     0.3125     0.4375     0.9375   

   pixel_7_6  pixel_7_7  
6        0.5        0.0  

[1 rows x 64 columns]","['pixel_7_7', 'pixel_2_4', 'pixel_1_2', 'pixel_1_1', 'pixel_2_3', 'pixel_5_3', 'pixel_5_6', 'pixel_5_4', 'pixel_6_7', 'pixel_7_0']","[0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[-0.13502520803818593, 0.07431602480775586, 0.07262546876288391, 0.07089185852897223, 0.06832153811975769, 0.06168797231429504, 0.060296618680349814, 0.05853677123118881, -0.05524995733999981, -0.04822827997448531]",1
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
7        0.0        0.0      0.125      0.625     0.8125       0.75   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
7     0.1875        0.0        0.0        0.0  ...        0.0        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
7        0.0        0.0      0.125       0.75        1.0      0.875   

   pixel_7_6  pixel_7_7  
7        0.0        0.0  

[1 rows x 64 columns]","['pixel_5_3', 'pixel_3_6', 'pixel_4_6', 'pixel_3_0', 'pixel_7_0', 'pixel_5_4', 'pixel_2_6', 'pixel_5_2', 'pixel_1_0', 'pixel_5_7']","[0.0, 0.3333333333333333, 0.5714285714285714, 0.0, 0.0, 0.0, 0.5, 0.0625, 0.0, 0.0]","[0.12478465250910965, 0.10880545643851361, 0.10083393890045575, -0.08257210289954696, 0.0805294189283214, 0.07423713907097912, 0.06365355215505285, 0.05041569147659127, 0.03940960498660436, -0.03577642315520597]",9
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
8        0.0        0.0      0.625      0.875      0.625     0.0625   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
8        0.0        0.0        0.0       0.25  ...     0.4375        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
8        0.0        0.0       0.75        1.0     0.9375        0.5   

   pixel_7_6  pixel_7_7  
8        0.0        0.0  

[1 rows x 64 columns]","['pixel_4_6', 'pixel_1_0', 'pixel_5_2', 'pixel_7_7', 'pixel_2_0', 'pixel_4_5', 'pixel_6_2', 'pixel_4_3', 'pixel_6_7', 'pixel_3_0']","[0.0, 0.0, 0.8125, 0.0, 0.0, 0.1875, 0.9375, 1.0, 0.0, 0.0]","[0.16422826359377535, -0.10303121774983764, 0.0836027370296221, 0.07860111940978244, -0.07382300586319186, 0.06638130917571244, 0.055965764596307616, 0.052079223073618244, 0.04879538844080265, -0.04334062964842202]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
9        0.0        0.0     0.9375     0.8125       0.75       0.75   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
9      0.125        0.0        0.0       0.25  ...        0.0        0.0   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
9        0.0   0.111111     0.9375        1.0       0.25        0.0   

   pixel_7_6  pixel_7_7  
9        0.0        0.0  

[1 rows x 64 columns]","['pixel_2_5', 'pixel_2_4', 'pixel_5_2', 'pixel_0_6', 'pixel_2_6', 'pixel_0_1', 'pixel_0_5', 'pixel_7_1', 'pixel_7_5', 'pixel_0_2']","[0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.75, 0.1111111111111111, 0.0, 0.9375]","[0.13743085915903494, 0.07169673251725882, 0.06642102129422899, 0.0564008637983985, 0.05374854270781504, -0.052446727814719006, 0.05105471549374425, 0.050846983867953145, 0.04780143643902947, 0.045264282787153616]",5
