instance,features,values,scores,target_label
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
0        0.0  -0.337904   1.207933   0.982865   0.734809  -0.501791   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
0  -0.407648  -0.122381  -0.055763   0.945108  ...  -0.540805  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
0  -0.026389  -0.301406   1.446284   0.214653   -0.78477   1.071722   

   pixel_7_6  pixel_7_7  
0   3.531256   4.465164  

[1 rows x 64 columns]","['pixel_3_2', 'pixel_5_5', 'pixel_6_3', 'pixel_3_3', 'pixel_7_0', 'pixel_1_0', 'pixel_7_5', 'pixel_4_1', 'pixel_3_0', 'pixel_7_4']","[-1.4610783217942955, -1.4582977690537675, 1.2227611302640529, -1.4968234430593916, -0.0263889906984631, -0.05576317482402748, 1.0717219292175875, -0.6762261434446151, -0.026388990698462983, -0.7847702354315632]","[0.05592123020402074, 0.03379329802158556, 0.029242162528430565, 0.02251703363691561, 0.018021717080780413, -0.016456511473484228, 0.015225636505720702, 0.014260763090458857, -0.013877649895128186, -0.011731631129697126]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
1        0.0    0.74354   2.044059    0.51658  -2.317664  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
1  -0.407648  -0.122381  -0.055763   1.259342  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
1  -0.026389   0.732295   1.835955   0.894073    0.03703  -0.974422   

   pixel_7_6  pixel_7_7  
1  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_4_1', 'pixel_3_4', 'pixel_4_3', 'pixel_5_0', 'pixel_6_5', 'pixel_5_2', 'pixel_3_3', 'pixel_5_5', 'pixel_3_7', 'pixel_7_0']","[-0.6762261434446151, 0.8239570206667475, 1.1117819283740598, -0.05806465198722751, -0.9618231778861185, 1.2322541801422127, 0.8812144648193765, -1.4582977690537675, -0.0457389353746345, -0.0263889906984631]","[0.032674935848291106, 0.02363271680026884, 0.018873036023775616, -0.018473415332990666, -0.018451694237562568, 0.017668377454855857, 0.017594700726034283, -0.014510332979784102, -0.014343252684285207, -0.011227557945046361]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
2        0.0   1.824985   1.625996   0.982865  -0.439219  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
2  -0.407648  -0.122381  -0.055763   3.144747  ...   0.490428  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
2  -0.026389   0.732295   1.446284   0.894073   0.858829   1.583258   

   pixel_7_6  pixel_7_7  
2   3.531256   1.557587  

[1 rows x 64 columns]","['pixel_3_2', 'pixel_5_5', 'pixel_6_3', 'pixel_3_7', 'pixel_3_3', 'pixel_3_0', 'pixel_7_5', 'pixel_4_1', 'pixel_4_5', 'pixel_2_0']","[-1.3005362244997243, -1.4582977690537675, 1.2227611302640529, -0.0457389353746345, -1.1571037419338532, -0.026388990698462983, 1.5832579386127403, -0.6762261434446151, -1.1441641420075916, -0.03733266964732845]","[0.05737926593475579, 0.03322715620972948, 0.027168828948658685, -0.02577359621301477, 0.024607339958547025, 0.022875427679869807, 0.01681507180735244, 0.016357681646367663, 0.01562403859209918, -0.015514375166755301]",2
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
3        0.0  -0.337904   0.789869  -1.115417  -2.787275  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
3  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
3  -0.026389  -0.301406   0.277271   0.441126   0.858829    0.90121   

   pixel_7_6  pixel_7_7  
3  -0.245849  -0.186959  

[1 rows x 64 columns]","['pixel_4_1', 'pixel_5_2', 'pixel_1_5', 'pixel_5_6', 'pixel_4_2', 'pixel_3_4', 'pixel_3_5', 'pixel_6_6', 'pixel_3_2', 'pixel_7_0']","[0.7574371320495009, 1.3851554198334621, -1.3612586560607807, 1.517792866766986, 1.3273404903770434, -1.6083072330269994, -1.289741786333269, 1.5216610283819219, 1.1075952349188443, -0.0263889906984631]","[0.03454142656660072, 0.022574369090051418, 0.019121058988265622, 0.01653648790917166, 0.014482117056101071, 0.012008003156327374, 0.011941631935787858, 0.011312293700598932, 0.009237489437399365, -0.009021706647433719]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
4        0.0  -0.337904  -0.464321   0.283438  -1.378441  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
4  -0.407648  -0.122381  -0.055763  -0.626063  ...   1.521661  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
4  -0.026389  -0.301406  -0.502071   0.214653   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
4  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_5_2', 'pixel_3_0', 'pixel_7_0', 'pixel_5_6', 'pixel_1_5', 'pixel_2_0', 'pixel_3_4', 'pixel_5_4', 'pixel_6_6', 'pixel_3_5']","[1.3851554198334621, -0.026388990698462983, -0.0263889906984631, 1.9802265251034978, -1.3612586560607807, -0.03733266964732845, -1.6083072330269994, -1.0701264143528428, 1.5216610283819219, -1.289741786333269]","[0.02407680314129774, 0.022143009713297225, 0.02052546087564101, 0.01985870405998048, 0.018485726538003837, -0.016972747930448985, 0.013414332002671265, 0.011822266058547382, 0.010901530005321186, 0.009551677311323444]",6
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
5        0.0  -0.337904  -0.046258   0.982865   0.030392  -0.678265   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
5  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
5  -0.026389  -0.301406   0.082436  -0.238293   -2.42837  -1.144934   

   pixel_7_6  pixel_7_7  
5  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_6_5', 'pixel_7_4', 'pixel_3_2', 'pixel_3_0', 'pixel_2_0', 'pixel_2_3', 'pixel_4_4', 'pixel_5_4', 'pixel_2_2', 'pixel_4_1']","[-1.4595926520598348, -2.428369912334688, -1.139994127205153, -0.026388990698462983, -0.03733266964732845, -1.2080904679781643, 0.9574542311900363, 1.0042776062474952, -1.7412419363443192, -0.6762261434446151]","[0.049582678146479084, 0.0386184723084137, 0.031590169307659476, -0.03126719876544995, 0.022696139714805434, 0.017018115888095334, 0.011886894251369315, 0.011080262544547968, 0.010964188567032672, -0.008422355270776657]",7
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
6        0.0  -0.337904  -1.091416   -0.41599   0.265198  -1.031214   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
6  -0.407648  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
6  -0.026389  -0.301406  -0.891742  -1.597133   -0.99022   1.412746   

   pixel_7_6  pixel_7_7  
6     1.5168  -0.186959  

[1 rows x 64 columns]","['pixel_1_2', 'pixel_2_4', 'pixel_2_3', 'pixel_7_0', 'pixel_5_4', 'pixel_6_3', 'pixel_3_3', 'pixel_2_2', 'pixel_2_0', 'pixel_3_0']","[-1.9069483115288126, 1.4299365216821271, 1.5538083129459637, -0.0263889906984631, 1.3234166863398549, 1.2227611302640529, 1.2209341659449149, -1.7412419363443192, -0.03733266964732845, -0.026388990698462983]","[0.03526607703226158, 0.02382756498729369, 0.023653773828105604, -0.02311991112445215, 0.02024372404328589, 0.013772913512043187, 0.013648827655567922, 0.011791152729724433, -0.009674504393890093, 0.0040045097243616755]",1
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
7        0.0  -0.337904  -0.673353   -0.41599   0.265198   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
7   0.499616  -0.122381  -0.055763  -0.626063  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
7  -0.026389  -0.301406  -0.696907   -0.01182   0.858829   1.242234   

   pixel_7_6  pixel_7_7  
7  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_5_2', 'pixel_5_4', 'pixel_3_0', 'pixel_4_1', 'pixel_3_5', 'pixel_5_0', 'pixel_2_0', 'pixel_2_5', 'pixel_3_6', 'pixel_3_7']","[-0.9083631755352793, -1.2296959543990227, -0.026388990698462983, -0.6762261434446151, 1.110538070970404, -0.05806465198722751, -0.03733266964732845, 1.314860590858507, 0.7190813710630803, -0.0457389353746345]","[0.04100931439044559, 0.03678406946053492, 0.036432848142502174, 0.028332482429767762, 0.024621849949292868, 0.024295370843876698, -0.021415739445083463, 0.016656116846649933, 0.012582325642991592, 0.007605936999194907]",9
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
8        0.0  -0.337904   0.998901    0.51658  -0.439219  -0.854739   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
8  -0.407648  -0.122381  -0.055763   0.630874  ...   0.696674  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
8  -0.026389  -0.301406   1.251449   0.894073   0.653379   0.219162   

   pixel_7_6  pixel_7_7  
8  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_4_1', 'pixel_5_3', 'pixel_3_4', 'pixel_6_0', 'pixel_5_2', 'pixel_7_4', 'pixel_4_4', 'pixel_4_3', 'pixel_1_2', 'pixel_3_3']","[-0.6762261434446151, -0.19117233290465546, 0.8239570206667475, -0.03963009454234691, 0.9264517007597138, 0.653379481858671, 0.7897888972611937, 1.1117819283740598, 0.6588613548259661, 0.20177506256829994]","[0.030781628992941283, -0.023379369358742616, 0.023293704128879707, 0.02199634590404841, 0.020983394087199733, 0.020320396646672012, 0.0190202870720006, 0.017564468052090332, 0.015040721281536638, -0.012779178113022541]",8
"   pixel_0_0  pixel_0_1  pixel_0_2  pixel_0_3  pixel_0_4  pixel_0_5  \
9        0.0  -0.337904   2.044059   0.283438   0.030392   1.086477   

   pixel_0_6  pixel_0_7  pixel_1_0  pixel_1_1  ...  pixel_6_6  pixel_6_7  \
9   0.197195  -0.122381  -0.055763   0.630874  ...  -0.747052  -0.197451   

   pixel_7_0  pixel_7_1  pixel_7_2  pixel_7_3  pixel_7_4  pixel_7_5  \
9  -0.026389   0.732295   1.835955   0.894073   -1.60657  -1.144934   

   pixel_7_6  pixel_7_7  
9  -0.497656  -0.186959  

[1 rows x 64 columns]","['pixel_3_0', 'pixel_3_7', 'pixel_0_2', 'pixel_2_4', 'pixel_7_2', 'pixel_4_1', 'pixel_5_2', 'pixel_7_4', 'pixel_2_0', 'pixel_7_0']","[-0.026388990698462983, -0.0457389353746345, 2.044059242803604, -1.1456295187812857, 1.8359554802872748, -0.6762261434446151, -1.061264415226529, -1.6065700738831254, -0.03733266964732845, -0.0263889906984631]","[0.025397848214047766, 0.020132225252384638, 0.018922963498477188, 0.012365566548773474, 0.011731278031945333, -0.01103731066102821, 0.008004564371622279, 0.0075857062038517, -0.006075408523924423, -0.005040014092195843]",5
