instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Overall_Height', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9718512345501338, 1.2313237049813155, 0.957784475498303, 0.9785533688316267, -0.9838438483563932, -0.0027797457928142055, 0.12560256945767148, -0.43815570558638767]","[-4.783688262322848, 2.596640193164772, -2.28882403631904, -1.3233613514121032, -1.1666177726181193, -0.4251588929794323, 0.048408615101800834, 0.009897821111040095]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Relative_Compactness', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Overall_Height', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.21097567444330495, 0.957784475498303, -1.0266138406389769, 0.14290417764578683, -0.9838438483563932, -1.7095436625803826, -0.5224644695928357, 0.4646214864607328]","[-4.613311258964581, -1.982941531856416, -1.8568820131840464, -1.4096196130716638, -1.1825671341440769, -0.9825445964908921, 0.30796336228048204, 0.001377274929313721]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Relative_Compactness', 'Wall_Area', 'Surface_Area', 'Glazing_Area', 'Roof_Area', 'Overall_Height', 'Glazing_Area_Distribution', 'Orientation']","[0.2645715506234637, 0.5661415598030419, -0.41419528314477305, -1.0266138406389769, -0.6757701577126913, 1.0164214592291214, -0.5224644695928357, -0.43815570558638767]","[5.728321410974142, 4.0016109685703, 2.959791699007665, -2.3458014582195954, 2.0509309606871415, 1.222106983040156, 0.4268916473484019, 0.025101170864768818]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Glazing_Area', 'Glazing_Area_Distribution', 'Relative_Compactness', 'Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Orientation']","[-1.7792596891790744, -1.81859854769385, 0.5498998856635239, -0.6757701577126913, -0.0027797457928142055, 1.0164214592291214, -0.692745013540053, 0.4646214864607328]","[-5.712702616926655, -2.4934950686332984, 2.246248437474174, 1.7428692586166736, -0.9483296276444602, 0.869152936749649, -0.6262552911331687, 0.0716975370320494]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Wall_Area', 'Surface_Area', 'Overall_Height', 'Glazing_Area_Distribution', 'Orientation']","[1.2313237049813155, 2.0716510058771824, -1.4925474743181886, -0.5717010513886703, -1.806943935121173, 1.0164214592291214, -1.1705315086433428, -0.43815570558638767]","[3.769056437255788, 3.70042979737487, 1.7054351353137784, -1.587777147397445, 1.2838833122338205, 1.0784837356082244, 0.39302640390037524, 0.03171264523246631]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Relative_Compactness', 'Glazing_Area', 'Surface_Area', 'Roof_Area', 'Overall_Height', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.3107754457703538, -1.0266138406389769, -1.249844474330613, -1.2202883687830228, 1.0164214592291214, -0.5224644695928357, -0.0027797457928142055, 1.3673986785078533]","[4.393682605223134, -2.492521130664417, 1.8840783864213648, 1.8747851712974475, 1.0170698817031019, 0.3916086813604691, -0.3004159833698976, -0.10884641442131038]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Relative_Compactness', 'Wall_Area', 'Roof_Area', 'Surface_Area', 'Overall_Height', 'Glazing_Area_Distribution', 'Glazing_Area', 'Orientation']","[2.0716510058771824, -0.5717010513886703, -1.4925474743181886, -1.806943935121173, 1.0164214592291214, -0.5224644695928357, 0.1023549321711691, 0.4646214864607328]","[3.4206002603451595, -1.4467902429868635, 1.425701832947714, 1.150623210449178, 0.9623841260751687, 0.4253758964048968, 0.3552096296478746, -0.006010554446501448]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.2313237049813155, 0.5498998856635239, -0.6757701577126913, -0.0027797457928142055, 1.0164214592291214, -0.692745013540053, -0.5224644695928357, -1.3409328976335082]","[3.136896984097788, 2.5098698236553734, 1.7707334858972548, -1.107314407998365, 0.9562301383593308, -0.7106218886266777, 0.32864020116292636, 0.03466816147074869]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Relative_Compactness', 'Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.9303376657169388, -0.6757701577126913, -0.5717010513886703, 1.0164214592291214, -0.971294743935333, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[4.065607183897189, 1.7748714869177897, -1.3496118173704894, 0.9327853064472906, 0.8048790853295982, 0.31742438535265816, 0.2624215643748702, -0.062193181360512995]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Overall_Height', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.5498998856635239, -1.0266138406389769, -0.6757701577126913, 1.0164214592291214, -0.0027797457928142055, -0.692745013540053, 0.7736696085081787, -1.3409328976335082]","[2.3591104823811224, -2.281773692470675, 1.7169608704369774, 0.9406349091154658, -0.9273874133522251, -0.808114851520715, 0.2554937019871919, 0.014959957405006552]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
10             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
10     1.367399      -1.77926                  -1.818599  ","['Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Glazing_Area_Distribution', 'Surface_Area', 'Overall_Height', 'Wall_Area', 'Orientation']","[-1.7792596891790744, -0.49630400948336617, 0.957784475498303, -1.81859854769385, 0.4214539080410668, -0.9838438483563932, -1.1406223569845264, 1.3673986785078533]","[-4.942905020909093, -4.202009131600536, -1.980291403778164, -1.8719041557965745, -1.1393630481679633, -0.9814162291564026, -0.7094965422701724, -0.1056735798288404]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
11              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
11     0.464621      1.231324                  -1.170532  ","['Relative_Compactness', 'Wall_Area', 'Glazing_Area', 'Surface_Area', 'Roof_Area', 'Overall_Height', 'Glazing_Area_Distribution', 'Orientation']","[0.2645715506234637, 0.5661415598030419, 1.2313237049813155, -0.41419528314477305, -0.6757701577126913, 1.0164214592291214, -1.1705315086433428, 0.4646214864607328]","[5.845274571211699, 4.272430831583314, 3.06296239253275, 2.699878909755091, 2.171862110169208, 1.1643996273467039, 0.4455848079277054, -0.004436436188738568]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
12             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
12     0.464621     -1.026614                   1.421737  ","['Relative_Compactness', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Overall_Height', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9718512345501338, 0.957784475498303, -1.0266138406389769, 0.9785533688316267, -0.9838438483563932, -0.0027797457928142055, 1.421736647558686, 0.4646214864607328]","[-4.458403795832035, -1.9804079348571602, -1.6784914828218724, -1.339534714205958, -1.155992602599266, -0.34370288674221605, 0.09460895313046791, -0.012600635673349458]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
13              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
13    -0.438156      1.231324                  -0.522464  ","['Relative_Compactness', 'Wall_Area', 'Glazing_Area', 'Surface_Area', 'Roof_Area', 'Overall_Height', 'Glazing_Area_Distribution', 'Orientation']","[0.2645715506234637, 0.5661415598030419, 1.2313237049813155, -0.41419528314477305, -0.6757701577126913, 1.0164214592291214, -0.5224644695928357, -0.43815570558638767]","[5.841609230833393, 4.259795507949166, 3.0708201357588303, 2.710501770509227, 2.17233670569221, 1.164399627346695, 0.3857200479391878, 0.03033986151648982]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
14              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
14    -0.438156      1.231324                   1.421737  ","['Relative_Compactness', 'Wall_Area', 'Glazing_Area', 'Surface_Area', 'Roof_Area', 'Overall_Height', 'Glazing_Area_Distribution', 'Orientation']","[0.2645715506234637, 0.5661415598030419, 1.2313237049813155, -0.41419528314477305, -0.6757701577126913, 1.0164214592291214, 1.421736647558686, -0.43815570558638767]","[5.860451162594471, 4.261412979355395, 2.9888220106119032, 2.7194739282797364, 2.1916969096288863, 1.1782474771506006, 0.0356327914182657, 0.019261390175261184]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
15              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
15     0.464621     -1.026614                    0.77367  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.9303376657169388, -1.0266138406389769, -0.6757701577126913, -0.5717010513886703, 1.0164214592291214, -0.971294743935333, 0.7736696085081787, 0.4646214864607328]","[3.7922633134777937, -2.326909470543435, 1.7313386182409165, -1.2223087085228659, 1.00439326732827, 0.7107888698417721, 0.2838959250852069, -0.03109833144669616]"
