instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, -0.9718512345501338, 0.957784475498303, 1.2313237049813155, 0.9785533688316267, -0.0027797457928142055, 0.12560256945767148, -0.43815570558638767]","[-7.7700381353363355, 5.649371475906364, -3.370206472138378, 3.1657646842167475, -3.0711500958037643, 0.09855183206810958, 0.09568641299596159, 0.00655922563161182]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -1.0266138406389769, -0.21097567444330495, -1.7095436625803826, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-7.770038135336882, -3.3702064721389426, -2.77004409869092, 1.861025138332871, -1.749295019207679, -0.8074030964403978, -0.06379094199747115, -0.013317215675723304]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, 0.5661415598030419, -0.41419528314477305, 0.2645715506234637, -0.5224644695928357, -0.43815570558638767]","[6.890411176618996, -2.7700440986909056, 1.8014658636231848, 0.7145007824928067, 0.7017615698026995, -0.5066913226506573, -0.06379094199747826, 0.0065592256310154085]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.7792596891790744, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, -1.81859854769385, -0.0027797457928142055, 0.4646214864607328]","[6.890411176619207, -4.748647026324554, -1.9273211992403056, 1.8014658636236134, 1.456343902923958, -0.38274565198452315, 0.09855183206840601, -0.013317215675631378]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Relative_Compactness', 'Overall_Height', 'Surface_Area', 'Roof_Area', 'Glazing_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.806943935121173, -1.4925474743181886, 1.2313237049813155, -0.5717010513886703, -1.1705315086433428, -0.43815570558638767]","[-9.504013874387642, 6.890411176619317, 4.474673235409609, 4.387302031505098, 3.165764684216702, -0.5173971183575672, -0.2232682969914208, 0.006559225631675325]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.3107754457703538, -1.2202883687830228, -1.249844474330613, -1.0266138406389769, -0.0027797457928142055, -0.5224644695928357, 1.3673986785078533]","[6.890411176618677, -5.715667536814017, 3.525356642212022, 2.965508569167445, -2.7700440986913297, 0.09855183206794615, -0.06379094199732815, -0.033193656982216435]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Relative_Compactness', 'Overall_Height', 'Surface_Area', 'Roof_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.806943935121173, -1.4925474743181886, -0.5717010513886703, 0.1023549321711691, -0.5224644695928357, 0.4646214864607328]","[-9.504013874387415, 6.890411176619245, 4.474673235409588, 4.38730203150519, -0.5173971183576942, 0.1978602927638975, -0.06379094199653057, -0.013317215675472394]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, -0.0027797457928142055, -0.5224644695928357, -1.3409328976335082]","[6.890411176618967, 3.1657646842166844, -1.9273211992404549, 1.8014658636234504, 1.4563439029238783, 0.09855183206837914, -0.06379094199703594, 0.026435666937609348]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Roof_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 0.9303376657169388, -0.971294743935333, -0.6757701577126913, -0.5717010513886703, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[6.890411176619375, -3.821494368027305, 2.210926236045524, 1.8014658636232959, -0.5173971183571973, 0.19786029276469685, 0.09568641299659486, -0.03319365698162535]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.0266138406389769, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, 0.7736696085081787, -0.0027797457928142055, -1.3409328976335082]","[6.890411176619234, -2.770044098690693, -1.9273211992403971, 1.8014658636238376, 1.4563439029240688, 0.2551637679900187, 0.09855183206851059, 0.026435666937951297]"
