instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[-0.9838438483563932, 0.957784475498303, 1.2313237049813155, 0.9785533688316267, -0.9718512345501338, -0.0027797457928142055, -0.43815570558638767, 0.12560256945767148]","[-3.050391753506918, -2.456793923864357, 1.758570559787171, -1.1093740514986496, -0.6541802532371856, 0.1703702533107756, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Overall_Height', 'Wall_Area', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Relative_Compactness', 'Orientation', 'Glazing_Area_Distribution']","[-0.9838438483563932, -1.7095436625803826, 0.957784475498303, -1.0266138406389769, 0.14290417764578683, -0.21097567444330495, 0.4646214864607328, -0.5224644695928357]","[-3.050391753506922, -3.0240719962662244, -2.456793923864355, -1.538749239813768, -0.29165362041857, -0.21550112281828593, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Surface_Area', 'Relative_Compactness', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, 0.5661415598030419, -0.41419528314477305, 0.2645715506234637, -0.43815570558638767, -0.5224644695928357]","[2.705064385185381, -1.5387492398137679, 1.3132223275898913, 1.2351843365031137, 0.2534933336348346, 0.05867333369353078, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, -1.7792596891790744, -0.6757701577126913, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, 0.4646214864607328, -1.81859854769385]","[2.7050643851853806, -2.6378558396807583, 1.3132223275898878, 0.5260668106615198, 0.22317800760061335, 0.17037025331077493, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[-1.4925474743181886, 1.0164214592291214, 1.2313237049813155, -1.806943935121173, 2.0716510058771824, -0.5717010513886703, -0.43815570558638767, -1.1705315086433428]","[3.1982304533170263, 2.7050643851853797, 1.7585705597871621, 1.616360718768295, 1.100536268438411, -0.894443829881562, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, -1.2202883687830228, -1.0266138406389769, -1.249844474330613, 1.3107754457703538, -0.0027797457928142055, 1.3673986785078533, -0.5224644695928357]","[2.7050643851853797, 2.569894411407981, -1.5387492398137783, 1.0712137647149111, 0.6618571380195193, 0.17037025331076627, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Roof_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[-1.4925474743181886, 1.0164214592291214, -1.806943935121173, 2.0716510058771824, -0.5717010513886703, 0.1023549321711691, 0.4646214864607328, -0.5224644695928357]","[3.1982304533170156, 2.7050643851853797, 1.6163607187683011, 1.100536268438416, -0.8944438298815611, 0.10991065998669658, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, -1.3409328976335082, -0.5224644695928357]","[2.7050643851853753, 1.758570559787168, 1.3132223275898984, 0.5260668106615247, 0.22317800760062312, 0.17037025331076938, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Overall_Height', 'Roof_Area', 'Wall_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, -0.6757701577126913, -0.5717010513886703, -0.971294743935333, 0.9303376657169388, 0.1023549321711691, 1.3673986785078533, 0.12560256945767148]","[2.705064385185378, 1.313222327589897, -0.8944438298815616, 0.7986402876882228, 0.4425175728100599, 0.10991065998669258, 0.0, 0.0]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, -1.3409328976335082, 0.7736696085081787]","[2.705064385185384, -1.5387492398137725, 1.3132223275898873, 0.5260668106615207, 0.22317800760061623, 0.17037025331077205, 0.0, 0.0]"
