instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, -0.9718512345501338, 1.2313237049813155, 0.957784475498303, 0.9785533688316267, -0.0027797457928142055, 0.12560256945767148, -0.43815570558638767]","[-8.347452411759223, 3.3065479302695953, 3.1696785969905292, -2.1014683536169763, -1.4914390366528751, 0.1309111919248882, 0.09178562916478583, 0.004345252349545525]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Wall_Area', 'Roof_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, -1.0266138406389769, -1.7095436625803826, 0.957784475498303, -0.21097567444330495, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-8.347452411759232, -2.7734687723667104, -2.3236736566668235, -2.1014683536169763, 1.0892483961407775, -0.39209822339523015, -0.061190419443187594, -0.008822179012716092]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, 0.5661415598030419, -0.41419528314477305, 0.2645715506234637, -0.5224644695928357, -0.43815570558638767]","[7.402457799107237, -2.77346877236671, 1.1232912683016538, 0.9491061414554625, 0.34079565210987006, -0.2965638126897274, -0.061190419443191146, 0.0043452523495517426]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.7792596891790744, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, -1.81859854769385, -0.0027797457928142055, 0.4646214864607328]","[7.402457799107232, -4.754517895485799, -1.1280511379880283, 1.1232912683016618, 0.7072425898624217, -0.36714251665914865, 0.1309111919248933, -0.008822179012714093]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Overall_Height', 'Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 2.0716510058771824, 1.2313237049813155, -1.4925474743181886, -1.806943935121173, -0.5717010513886703, -1.1705315086433428, -0.43815570558638767]","[7.402457799107241, -5.562650206245664, 3.169678596990524, 2.7356710792609693, 2.1730303408726215, -0.6872837576056834, -0.21416646805116457, 0.004345252349549966]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Overall_Height', 'Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.3107754457703538, -1.0266138406389769, -1.2202883687830228, -1.249844474330613, -0.0027797457928142055, -0.5224644695928357, 1.3673986785078533]","[7.402457799107238, -3.3453506721168536, -2.7734687723667024, 2.1982111422745327, 1.4401364653675177, 0.13091119192489487, -0.06119041944319559, -0.02198961037498437]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 2.0716510058771824, -1.4925474743181886, -1.806943935121173, -0.5717010513886703, 0.1023549321711691, -0.5224644695928357, 0.4646214864607328]","[7.402457799107241, -5.562650206245667, 2.735671079260979, 2.1730303408726153, -0.6872837576056838, 0.19810491231190142, -0.06119041944318582, -0.008822179012714315]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, -0.0027797457928142055, -0.5224644695928357, -1.3409328976335082]","[7.402457799107239, 3.169678596990522, -1.1280511379880327, 1.1232912683016547, 0.7072425898624211, 0.13091119192489575, -0.06119041944317871, 0.017512683711811583]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 0.9303376657169388, -0.6757701577126913, -0.971294743935333, -0.5717010513886703, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[7.402457799107232, -2.2367009050524405, 1.123291268301652, 1.073689527614973, -0.6872837576056812, 0.19810491231191163, 0.09178562916479116, -0.021989610374979485]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.0266138406389769, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, 0.7736696085081787, -0.0027797457928142055, -1.3409328976335082]","[7.402457799107241, -2.77346877236671, -1.1280511379880345, 1.1232912683016592, 0.7072425898624153, 0.24476167777276636, 0.1309111919248962, 0.01751268371181114]"
