instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Relative_Compactness', 'Roof_Area', 'Overall_Height', 'Glazing_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.9718512345501338, 0.957784475498303, -0.9838438483563932, 1.2313237049813155, 0.9785533688316267, 0.12560256945767148, -0.0027797457928142055, -0.43815570558638767]","[9.453205988901615, -7.235326912977826, -7.095281701786429, 4.994458106284381, -3.343222666282613, -0.32512313376045565, 0.20045904270151166, -0.13885148962892155]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.957784475498303, -0.9838438483563932, -1.0266138406389769, -0.21097567444330495, -1.7095436625803826, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-7.722618015645779, -7.570081862946025, -4.912864078403081, 4.139881847732814, -1.8822340705925364, 1.1203921962133272, 0.04076024700256298, -0.014679295627129904]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[-0.6757701577126913, 1.0164214592291214, -1.0266138406389769, 0.2645715506234637, -0.41419528314477305, 0.5661415598030419, -0.43815570558638767, -0.5224644695928357]","[7.409160923941509, 7.19136765976441, -4.8776347541606535, -2.4481810587386206, 1.1221206644825141, 0.49727331354717846, -0.18373264504231407, -0.13678787358386735]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, 1.0164214592291214, -1.7792596891790744, 0.5498998856635239, -0.692745013540053, -0.0027797457928142055, -1.81859854769385, 0.4646214864607328]","[7.932865502137808, 7.168702491070953, -5.120614316446269, -2.200266026115026, 1.4672410466639931, -0.15839459395624236, -0.13698427413319578, -0.059695280995114244]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Relative_Compactness', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, -1.4925474743181886, 1.0164214592291214, -1.806943935121173, 1.2313237049813155, -0.5717010513886703, -1.1705315086433428, -0.43815570558638767]","[-11.65191634050615, 7.514574058957027, 7.348679663278494, 5.61461981188988, 4.867513280281937, -1.7221632822743007, -0.519776867839147, 0.05670420170799907]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Relative_Compactness', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation', 'Wall_Area']","[1.3107754457703538, -1.2202883687830228, 1.0164214592291214, -1.249844474330613, -1.0266138406389769, -0.5224644695928357, 1.3673986785078533, -0.0027797457928142055]","[-11.534207256815709, 7.738458548923603, 7.097632600466527, 5.9716447036417515, -5.189774839221063, -0.4372913854930458, -0.07360531410109901, -0.0572818709574416]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Relative_Compactness', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, -1.4925474743181886, 1.0164214592291214, -1.806943935121173, -0.5717010513886703, 0.1023549321711691, -0.5224644695928357, 0.4646214864607328]","[-11.508302291427595, 7.578761564012539, 7.150397033799705, 6.115120719165738, -1.6181438495104412, 0.6161052776386835, -0.28997369029470194, -0.19673509164259453]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Orientation', 'Glazing_Area_Distribution', 'Wall_Area']","[-0.6757701577126913, 1.0164214592291214, 1.2313237049813155, 0.5498998856635239, -0.692745013540053, -1.3409328976335082, -0.5224644695928357, -0.0027797457928142055]","[7.4753512862099125, 7.00240705245212, 4.8141410227044625, -1.9770373449312755, 1.2736330334081571, -0.2899855494278056, 0.0448834995342574, 0.011783213515855054]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Relative_Compactness', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.9303376657169388, -0.6757701577126913, 1.0164214592291214, -0.971294743935333, -0.5717010513886703, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[-11.663527055110901, 7.585482735278271, 7.063413877374464, 5.73982023188456, -1.4400191415835737, 0.5265946071289058, -0.19064586492590666, 0.1391492293094767]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.6757701577126913, 1.0164214592291214, -1.0266138406389769, 0.5498998856635239, -0.692745013540053, 0.7736696085081787, -0.0027797457928142055, -1.3409328976335082]","[7.616124015815506, 7.026306916630335, -5.075411480255457, -2.2885293805024767, 1.195588482077378, 0.35685502604268116, -0.1450526890881135, -0.046684211703682116]"
