instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.9838438483563932, 1.2313237049813155, -0.9718512345501338, 0.957784475498303, 0.9785533688316267, 0.12560256945767148, -0.0027797457928142055, -0.43815570558638767]","[-7.982212640903029, 4.944547497089562, 4.424724111858292, -3.7910532430489075, -1.283704012103185, -0.18771175052581052, 0.13926742549444182, 0.13441523744981712]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, -1.0266138406389769, 0.957784475498303, -1.7095436625803826, -0.21097567444330495, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-8.040623833037598, -5.133798914429881, -4.054875647247989, -2.4489147937968228, 1.9121668119150899, 0.6450077965106735, -0.16571680761252144, 0.15681206968190534]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Relative_Compactness', 'Surface_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, 0.5661415598030419, 0.2645715506234637, -0.41419528314477305, -0.43815570558638767, -0.5224644695928357]","[8.132644684406161, -5.095311369071175, 3.9246798806414573, 1.2128599122162715, -1.1578674762647123, 0.3576542913807784, 0.10103128969972845, -0.04048995428553746]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.7792596891790744, -0.6757701577126913, 0.5498998856635239, -0.692745013540053, -1.81859854769385, -0.0027797457928142055, 0.4646214864607328]","[7.8329916052147475, -5.119448099236337, 3.813651461174825, -1.0880129831287426, 0.7259872885257601, -0.39646285145140775, 0.17479909678503447, -0.026226300071800348]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Overall_Height', 'Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 2.0716510058771824, 1.2313237049813155, -1.4925474743181886, -1.806943935121173, -0.5717010513886703, -1.1705315086433428, -0.43815570558638767]","[7.991546586198251, -5.4961983152086065, 4.816537623807531, 3.95238633325526, 2.3185710324961617, -2.2937143339102453, -0.44749342656690805, 0.03749087626098783]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Overall_Height', 'Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, 1.3107754457703538, -1.0266138406389769, -1.2202883687830228, -1.249844474330613, -0.5224644695928357, -0.0027797457928142055, 1.3673986785078533]","[8.152237740221908, -5.480308052950676, -5.062256109196482, 4.042121304161674, 2.345288790336835, -0.16447210295957776, 0.14177916301334026, 0.007241037506137153]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Wall_Area', 'Surface_Area', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, 2.0716510058771824, -1.4925474743181886, -0.5717010513886703, -1.806943935121173, 0.1023549321711691, 0.4646214864607328, -0.5224644695928357]","[8.082700198851052, -5.399345359141971, 4.012233736763238, -2.4910749913713595, 2.1795148447155923, 0.5563996861868399, 0.043786074728011666, -0.03827000829443966]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation', 'Wall_Area']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, 0.5498998856635239, -0.692745013540053, -0.5224644695928357, -1.3409328976335082, -0.0027797457928142055]","[8.018177469828084, 4.776778433389872, 3.9153518080690546, -1.0150922713098283, 0.6829032360318659, -0.47090538592394143, 0.16126683877783143, 0.13820822409372802]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Wall_Area', 'Surface_Area', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, 0.9303376657169388, -0.6757701577126913, -0.5717010513886703, -0.971294743935333, 0.1023549321711691, 1.3673986785078533, 0.12560256945767148]","[8.071141977118659, -5.644900232881969, 4.026468797895437, -2.349337388892551, 2.273753675441116, 0.6666175919165964, -0.13398006499682463, -0.07720045128216083]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, 0.5498998856635239, -0.692745013540053, 0.7736696085081787, -0.0027797457928142055, -1.3409328976335082]","[8.096805833943273, -5.154223000961143, 4.036055224231667, -1.045020573754218, 0.6932362352217135, 0.29360862348239, 0.21572391227227417, 0.033043782432998825]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
10             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
10     1.367399      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, -1.7792596891790744, 0.957784475498303, -1.1406223569845264, -0.49630400948336617, 0.4214539080410668, -1.81859854769385, 1.3673986785078533]","[-8.164144717326309, -5.062042131350194, -4.147808277282005, -2.3058034418756717, 1.8341722164993797, -1.3461571207879697, -0.2862427354713697, 0.08925664984077405]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
11              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
11     0.464621      1.231324                  -1.170532  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Surface_Area', 'Orientation']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, 0.2645715506234637, 0.5661415598030419, -1.1705315086433428, -0.41419528314477305, 0.4646214864607328]","[7.909287950713655, 4.753069655921503, 3.8975558317806627, -1.1024974584971738, 1.0880350219420314, -0.6203840101123057, 0.5188256841666817, 0.049255265203370154]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
12             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
12     0.464621     -1.026614                   1.421737  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.9838438483563932, -1.0266138406389769, -0.9718512345501338, 0.957784475498303, 0.9785533688316267, 1.421736647558686, -0.0027797457928142055, 0.4646214864607328]","[-7.950045522877216, -5.151553359479486, 4.5581972373331014, -3.906380401884686, -1.1608355642226993, 0.41871148172612827, 0.19481878650240889, -0.04392441403930582]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
13              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
13    -0.438156      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Relative_Compactness', 'Surface_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, 0.5661415598030419, 0.2645715506234637, -0.41419528314477305, -0.43815570558638767, -0.5224644695928357]","[8.069224865958232, 5.03090241213114, 3.853044558574512, 1.2107112878921196, -0.8973626521905316, 0.49748356664247106, 0.09145541806581063, -0.0726835758764435]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
14              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
14    -0.438156      1.231324                   1.421737  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, 0.5661415598030419, 0.2645715506234637, -0.41419528314477305, 1.421736647558686, -0.43815570558638767]","[8.114039148824519, 5.046893012347158, 4.090760941320607, 1.3259087266363514, -1.1313542018088054, 0.6344920244798887, 0.4253776899700402, 0.06348237857966942]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
15              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
15     0.464621     -1.026614                    0.77367  ","['Overall_Height', 'Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 0.9303376657169388, -1.0266138406389769, -0.6757701577126913, -0.5717010513886703, -0.971294743935333, 0.7736696085081787, 0.4646214864607328]","[8.041442147446004, -5.648389563527822, -5.217162819032984, 3.987599556993045, -2.405661021002344, 2.3656664260419316, 0.29220736680587694, -0.01944754194732013]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
16             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
16     1.367399     -1.026614                   0.125603  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Relative_Compactness', 'Surface_Area', 'Orientation', 'Glazing_Area_Distribution']","[-0.9838438483563932, -1.0266138406389769, 0.957784475498303, -1.1406223569845264, -0.49630400948336617, 0.4214539080410668, 1.3673986785078533, 0.12560256945767148]","[-8.009192042882246, -5.135129736239365, -3.712707098127626, -2.440356880886675, 1.8527202119469912, -1.3140568074375645, -0.13545073675821492, -0.13106916486951373]"
