instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[0.957784475498303, 1.2313237049813155, -0.9838438483563932, -0.9718512345501338, 0.9785533688316267, 0.12560256945767148, -0.0027797457928142055, -0.43815570558638767]","[-5.560339176240389, 3.1142857495033116, -2.58440248714105, -1.9170300971270022, -1.1207500574055858, 0.6870572759597595, 0.5145766804287734, -0.026800754878186707]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Roof_Area', 'Wall_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area_Distribution', 'Relative_Compactness', 'Orientation']","[0.957784475498303, -1.7095436625803826, -1.0266138406389769, -0.9838438483563932, 0.14290417764578683, -0.5224644695928357, -0.21097567444330495, 0.4646214864607328]","[-5.709982861702617, -4.718306116542169, -3.59805284125761, -2.6791751552526715, 0.9498983713666745, 0.6313732637441084, -0.52375923523417, 0.3017323371123438]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Wall_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, -1.0266138406389769, 1.0164214592291214, 0.5661415598030419, -0.41419528314477305, 0.2645715506234637, -0.5224644695928357, -0.43815570558638767]","[5.506253833982063, -3.7439981234840634, 2.7309811364989622, 2.5483083538361613, 1.2102818330713025, 0.8570168165552622, 0.516170832478747, 0.038585482149287836]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, -1.7792596891790744, 1.0164214592291214, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, -1.81859854769385, 0.4646214864607328]","[5.4279182010320355, -3.7539121897846197, 2.5794035577382513, 1.1226291876816843, 0.9268432751181025, 0.7042632122645525, -0.42490612370974146, 0.3707857995547483]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Roof_Area', 'Wall_Area', 'Glazing_Area', 'Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-1.4925474743181886, -0.5717010513886703, 1.2313237049813155, 1.0164214592291214, 2.0716510058771824, -1.806943935121173, -1.1705315086433428, -0.43815570558638767]","[5.610323992629317, -4.6818980949157245, 2.9648246079503475, 2.4377474197304094, 1.8983075869111319, 1.714480837488397, -0.5154752736119046, -0.03569243002267753]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-1.2202883687830228, -1.0266138406389769, 1.0164214592291214, 1.3107754457703538, -1.249844474330613, -0.5224644695928357, -0.0027797457928142055, 1.3673986785078533]","[5.555422746017496, -3.733741742515948, 2.4555783577221795, 1.8293850204778295, 1.7203125679911482, 0.6060209449691913, 0.499282210685546, -0.2074773732164949]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[-1.4925474743181886, -0.5717010513886703, 1.0164214592291214, -1.806943935121173, 2.0716510058771824, 0.1023549321711691, -0.5224644695928357, 0.4646214864607328]","[5.603222665614454, -4.807708659778475, 2.6082782842225107, 1.715843837209288, 1.6765963610947336, 0.9191575230018735, 0.563062977297304, 0.28076736893337034]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, 1.2313237049813155, 1.0164214592291214, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, -0.5224644695928357, -1.3409328976335082]","[5.802637212964516, 2.8606810617332283, 2.6011150762633286, 1.2078808447132683, 1.0047749180920273, 0.7394267044336379, 0.46791395512701894, 0.012027109694491778]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Roof_Area', 'Wall_Area', 'Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, -0.5717010513886703, 1.0164214592291214, 0.9303376657169388, -0.971294743935333, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[5.45093486337815, -4.585225081781564, 2.512643671129101, 1.7792648511281224, 1.6671124430219455, 0.9416841423194612, 0.6996556545629771, -0.19108572151518807]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, -1.0266138406389769, 1.0164214592291214, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, 0.7736696085081787, -1.3409328976335082]","[5.588237412264814, -3.8398296131804113, 2.5030452683501174, 0.8808628925279284, 0.8286244899933649, 0.6567783600412044, 0.29921319529459084, 0.14384366399264287]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
10             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
10     1.367399      -1.77926                  -1.818599  ","['Roof_Area', 'Wall_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[0.957784475498303, -1.1406223569845264, -1.7792596891790744, -0.9838438483563932, 0.4214539080410668, -0.49630400948336617, -1.81859854769385, 1.3673986785078533]","[-5.500453763179626, -4.682910511532411, -3.6124204721239632, -2.566322065637825, -1.079248869203611, -0.673314492719301, -0.5359954416328072, -0.2468931977960992]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
11              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
11     0.464621      1.231324                  -1.170532  ","['Roof_Area', 'Glazing_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, 1.2313237049813155, 0.5661415598030419, 1.0164214592291214, -0.41419528314477305, 0.2645715506234637, -1.1705315086433428, 0.4646214864607328]","[5.717244229036989, 3.263451054091281, 2.7243677453001176, 2.5950827297100356, 1.106716337173609, 1.0138016309951097, -0.627967933993991, 0.3593603355784671]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
12             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
12     0.464621     -1.026614                   1.421737  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[0.957784475498303, -1.0266138406389769, -0.9838438483563932, -0.9718512345501338, 0.9785533688316267, 1.421736647558686, -0.0027797457928142055, 0.4646214864607328]","[-5.656077479686758, -3.710197641871711, -2.5697195060135045, -1.9929766798774275, -1.2241375079160663, -0.6096831969335482, 0.4713984174249549, 0.36665003590408773]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
13              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
13    -0.438156      1.231324                  -0.522464  ","['Roof_Area', 'Glazing_Area', 'Wall_Area', 'Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, 1.2313237049813155, 0.5661415598030419, 1.0164214592291214, 0.2645715506234637, -0.41419528314477305, -0.5224644695928357, -0.43815570558638767]","[5.668596638450101, 2.967835477526674, 2.660093084153828, 2.543102028403909, 1.2659770783716817, 1.2029079601558887, 0.4162014301388755, 0.06286443397726572]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
14              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
14    -0.438156      1.231324                   1.421737  ","['Roof_Area', 'Glazing_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, 1.2313237049813155, 0.5661415598030419, 1.0164214592291214, -0.41419528314477305, 0.2645715506234637, 1.421736647558686, -0.43815570558638767]","[5.53436466127362, 3.0051286796451575, 2.8066032546358484, 2.6203729561608893, 1.2316221662820452, 1.0611126151619836, -0.47738010553707577, -0.17677408454137863]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
15              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
15     0.464621     -1.026614                    0.77367  ","['Roof_Area', 'Wall_Area', 'Glazing_Area', 'Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, -0.5717010513886703, -1.0266138406389769, 1.0164214592291214, 0.9303376657169388, -0.971294743935333, 0.7736696085081787, 0.4646214864607328]","[5.567688585908206, -4.798982817110322, -3.808678957065883, 2.4734386556718744, 1.866061827000485, 1.7426203480588178, 0.3245517598602351, 0.22984622672841704]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
16             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
16     1.367399     -1.026614                   0.125603  ","['Roof_Area', 'Wall_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area_Distribution', 'Relative_Compactness', 'Orientation']","[0.957784475498303, -1.1406223569845264, -1.0266138406389769, -0.9838438483563932, 0.4214539080410668, 0.12560256945767148, -0.49630400948336617, 1.3673986785078533]","[-5.4807457115036, -4.700418626253761, -3.5853803312946475, -2.631916362669629, -1.0547088763170673, 0.6227513180302516, -0.5729714313490085, -0.2674641031607552]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
17              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
17     1.367399     -1.026614                  -1.170532  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-1.2202883687830228, -1.0266138406389769, 1.0164214592291214, 1.3107754457703538, -1.249844474330613, -0.0027797457928142055, -1.1705315086433428, 1.3673986785078533]","[5.40089717337916, -3.7492960904092727, 2.505596139506597, 1.7953418891822819, 1.7729222419419037, 0.6998811731790928, -0.4915702794450099, -0.40153453495645747]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
18             -1.352289      1.535653   1.135063   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
18     1.367399      0.102355                    0.77367  ","['Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.957784475498303, 1.1350628653988981, -0.9838438483563932, 1.5356528296221867, -1.3522890146035487, 0.1023549321711691, 0.7736696085081787, 1.3673986785078533]","[-5.617776431773704, 4.73906242922276, -2.6256231984997696, -2.41179556206555, -1.9886573751089005, 0.868332650319016, 0.34956633470160653, -0.19016197889452613]"
