instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation', 'Wall_Area']","[-0.9718512345501338, -0.9838438483563932, 0.957784475498303, 1.2313237049813155, 0.9785533688316267, 0.12560256945767148, -0.43815570558638767, -0.0027797457928142055]","[8.699750258313358, -7.561647692741859, -6.818172222628272, 4.9439220627453855, -2.5505127951733533, -0.1901852987241591, 0.17884254581227024, 0.05857957326633845]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -1.0266138406389769, -0.21097567444330495, -1.7095436625803826, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-7.4260889372452805, -6.82279416039054, -5.235037409136914, 3.4700627564152597, -1.7185744581494087, 1.5389291169874935, -0.19466562482690153, 0.017627764150791952]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -0.6757701577126913, -1.0266138406389769, 0.2645715506234637, -0.41419528314477305, 0.5661415598030419, -0.5224644695928357, -0.43815570558638767]","[7.528471165138303, 6.766061042222431, -5.113764824768278, -2.117018636944405, 1.2019121894374964, 0.831324567584519, 0.06884067130221691, 0.01798045936050175]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -0.6757701577126913, -1.7792596891790744, 0.5498998856635239, -0.692745013540053, -1.81859854769385, -0.0027797457928142055, 0.4646214864607328]","[7.507013818431757, 6.87643277086213, -5.023681026805163, -1.7826240105264732, 1.1727259366818858, -0.3885732700265518, -0.31420009699897394, -0.07534393463815937]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Surface_Area', 'Glazing_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.4925474743181886, -1.806943935121173, 1.2313237049813155, -0.5717010513886703, -1.1705315086433428, -0.43815570558638767]","[-10.46000276961518, 7.466562886062823, 6.79586207314293, 5.346017320088219, 4.719456638024967, -1.8236190309602198, -0.5027610536265951, 0.14101353323103819]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.3107754457703538, 1.0164214592291214, -1.2202883687830228, -1.0266138406389769, -1.249844474330613, -0.5224644695928357, -0.0027797457928142055, 1.3673986785078533]","[-10.283071006139508, 7.33715114895578, 6.820223528400638, -4.987702900060841, 4.987143359124879, -0.17775958263764977, 0.024144049713213697, -0.016770106825049917]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.4925474743181886, -1.806943935121173, -0.5717010513886703, 0.1023549321711691, -0.5224644695928357, 0.4646214864607328]","[-10.53168419352481, 7.430079826070215, 6.828822579868778, 5.492795877220104, -1.6110605541122143, 0.4915966284298477, -0.18011644353723014, 0.06100220285529646]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation', 'Wall_Area']","[1.0164214592291214, -0.6757701577126913, 1.2313237049813155, 0.5498998856635239, -0.692745013540053, -0.5224644695928357, -1.3409328976335082, -0.0027797457928142055]","[7.776317743674888, 6.763011667308117, 4.993643278833099, -2.137643420717519, 1.1622427841710865, -0.22067910590327788, 0.1634725418851357, -0.0674869626900917]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[0.9303376657169388, 1.0164214592291214, -0.6757701577126913, -0.971294743935333, -0.5717010513886703, 0.1023549321711691, 1.3673986785078533, 0.12560256945767148]","[-10.371720744628766, 7.242325866014423, 6.854002108122764, 5.359393804058496, -1.741742356204463, 0.46516470504786805, -0.3305149749061056, 0.08243094829227408]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -0.6757701577126913, -1.0266138406389769, 0.5498998856635239, -0.692745013540053, -0.0027797457928142055, 0.7736696085081787, -1.3409328976335082]","[7.432477631219747, 6.999843352815776, -5.1474875498234915, -2.028030415846783, 1.0889232267583389, 0.22322879699267387, 0.16660801801187483, 0.11669246949150086]"
