instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.9838438483563932, -0.9718512345501338, 0.957784475498303, 0.9785533688316267, 1.2313237049813155, 0.12560256945767148, -0.0027797457928142055, -0.43815570558638767]","[-7.51792161007927, 6.880523317623881, -4.016244099158898, -3.8798666198347456, 3.1695752335343927, 0.0957910180744781, 0.08136405953594616, 0.006894614024809176]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -1.0266138406389769, -0.21097567444330495, -1.7095436625803826, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-7.517921610079261, -4.0162440991589, -2.7733783293425933, 2.2665931800722463, -1.4442120567631225, -1.0200140745020185, -0.06386067871632051, -0.01399815574734653]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, -0.41419528314477305, 0.2645715506234637, 0.5661415598030419, -0.5224644695928357, -0.43815570558638767]","[6.666836144787282, -2.773378329342595, 2.1467903241028354, 0.8865542890531488, -0.6171131558975302, 0.5898894316356391, -0.06386067871632051, 0.006894614024815837]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.7792596891790744, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, -1.81859854769385, -0.0027797457928142055, 0.4646214864607328]","[6.666836144787281, -4.754362850301587, -2.347336957479396, 2.146790324102839, 1.8398384708307294, -0.3831640722978955, 0.08136405953594994, -0.0139981557473432]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Relative_Compactness', 'Overall_Height', 'Surface_Area', 'Roof_Area', 'Glazing_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.806943935121173, -1.4925474743181886, 1.2313237049813155, -0.5717010513886703, -1.1705315086433428, -0.43815570558638767]","[-11.575197232582683, 6.666836144787278, 5.652975197941043, 5.228307535733702, 3.169575233534391, -0.4271613125637357, -0.22351237550709513, 0.006894614024808732]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Surface_Area', 'Glazing_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.3107754457703538, 1.0164214592291214, -1.2202883687830228, -1.249844474330613, -1.0266138406389769, -0.0027797457928142055, -0.5224644695928357, 1.3673986785078533]","[-6.961267095031042, 6.666836144787279, 4.2011351318567485, 3.7464068343858883, -2.773378329342597, 0.08136405953595327, -0.06386067871632228, -0.03489092551948669]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Relative_Compactness', 'Overall_Height', 'Surface_Area', 'Roof_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.806943935121173, -1.4925474743181886, -0.5717010513886703, 0.1023549321711691, -0.5224644695928357, 0.4646214864607328]","[-11.57519723258268, 6.666836144787277, 5.652975197941045, 5.228307535733702, -0.4271613125637357, 0.1980984520958966, -0.0638606787163134, -0.013998155747346974]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, -0.0027797457928142055, -0.5224644695928357, -1.3409328976335082]","[6.666836144787279, 3.169575233534392, -2.347336957479398, 2.146790324102831, 1.8398384708307303, 0.08136405953595638, -0.06386067871631518, 0.027787383796967546]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Roof_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 0.9303376657169388, -0.971294743935333, -0.6757701577126913, -0.5717010513886703, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[6.6668361447872755, -4.654302026255217, 2.7931226526083073, 2.1467903241028363, -0.4271613125637357, 0.19809845209590238, 0.0957910180744701, -0.03489092551949202]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.0266138406389769, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, 0.7736696085081787, -0.0027797457928142055, -1.3409328976335082]","[6.666836144787284, -2.773378329342595, -2.347336957479395, 2.1467903241028337, 1.8398384708307285, 0.2554427148652607, 0.08136405953595238, 0.02778738379696133]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
10             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
10     1.367399      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, -1.7792596891790744, 0.957784475498303, -0.49630400948336617, 0.4214539080410668, -1.1406223569845264, -1.81859854769385, 1.3673986785078533]","[-7.517921610079274, -4.754362850301586, -4.016244099158902, 3.9968169816541064, -1.9732982562795964, -0.935686684663434, -0.3831640722978875, -0.03489092551948936]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
11              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
11     0.464621      1.231324                  -1.170532  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, -0.41419528314477305, 0.2645715506234637, 0.5661415598030419, -1.1705315086433428, 0.4646214864607328]","[6.666836144787281, 3.1695752335344, 2.1467903241028328, 0.8865542890531506, -0.6171131558975373, 0.5898894316356413, -0.22351237550709513, -0.01399815574734653]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
12             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
12     0.464621     -1.026614                   1.421737  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.9838438483563932, -0.9718512345501338, 0.957784475498303, 0.9785533688316267, -1.0266138406389769, 1.421736647558686, -0.0027797457928142055, 0.4646214864607328]","[-7.517921610079273, 6.880523317623882, -4.016244099158897, -3.879866619834747, -2.773378329342597, 0.4150944116560531, 0.08136405953594572, -0.013998155747344754]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
13              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
13    -0.438156      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, -0.41419528314477305, 0.2645715506234637, 0.5661415598030419, -0.5224644695928357, -0.43815570558638767]","[6.66683614478728, 3.16957523353439, 2.1467903241028354, 0.8865542890531533, -0.6171131558975294, 0.5898894316356458, -0.06386067871632228, 0.006894614024816725]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
14              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
14    -0.438156      1.231324                   1.421737  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, -0.41419528314477305, 0.2645715506234637, 0.5661415598030419, 1.421736647558686, -0.43815570558638767]","[6.666836144787282, 3.1695752335343927, 2.1467903241028345, 0.8865542890531533, -0.6171131558975338, 0.5898894316356458, 0.41509441165604244, 0.0068946140248122845]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
15              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
15     0.464621     -1.026614                    0.77367  ","['Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 0.9303376657169388, -0.971294743935333, -1.0266138406389769, -0.6757701577126913, -0.5717010513886703, 0.7736696085081787, 0.4646214864607328]","[6.666836144787279, -4.654302026255219, 2.793122652608308, -2.7733783293425973, 2.146790324102837, -0.4271613125637368, 0.2554427148652576, -0.013998155747336982]"
