instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.9718512345501338, -0.9838438483563932, 0.957784475498303, 1.2313237049813155, 0.9785533688316267, 0.12560256945767148, -0.0027797457928142055, -0.43815570558638767]","[7.759380073953846, -7.322665001203284, -6.476313516986187, 4.804714348267085, -2.524844181428737, -0.25493679581272094, 0.19305889390580278, 0.15336953537406525]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -1.0266138406389769, -0.21097567444330495, -1.7095436625803826, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-7.185030051251561, -6.289849677547343, -5.320077501115761, 3.4488939216805585, -1.7027823933234616, 1.0570032856363174, -0.14585204566872353, 0.13059634335753076]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -0.6757701577126913, -1.0266138406389769, 0.2645715506234637, -0.41419528314477305, 0.5661415598030419, -0.5224644695928357, -0.43815570558638767]","[7.585087131934964, 6.257478153911631, -5.033224660807082, -1.9153917842725345, 1.2585838985962674, 0.9790461947796304, -0.3768971242034472, 0.13392544414366805]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -0.6757701577126913, -1.7792596891790744, 0.5498998856635239, -0.692745013540053, -1.81859854769385, -0.0027797457928142055, 0.4646214864607328]","[7.335369839449435, 6.345783506534581, -5.233404660251615, -1.703025505681165, 1.2018669786607652, -0.4092885417319154, 0.23479484459982544, -0.07193835444611478]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.4925474743181886, 1.2313237049813155, -1.806943935121173, -0.5717010513886703, -1.1705315086433428, -0.43815570558638767]","[-9.465608739267946, 7.303649254154149, 6.54194452308764, 5.01377513893212, 4.584830251010986, -1.7211597942619743, -0.5096713433921285, 0.16522720959721235]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Orientation', 'Glazing_Area_Distribution', 'Wall_Area']","[1.3107754457703538, 1.0164214592291214, -1.2202883687830228, -1.0266138406389769, -1.249844474330613, 1.3673986785078533, -0.5224644695928357, -0.0027797457928142055]","[-9.55491382818282, 7.461252435311048, 6.352257272585778, -5.139061851002332, 4.7352247514067285, -0.2158534281583907, -0.0772320620621426, 0.0008033644475957742]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[2.0716510058771824, 1.0164214592291214, -1.4925474743181886, -1.806943935121173, -0.5717010513886703, 0.1023549321711691, 0.4646214864607328, -0.5224644695928357]","[-9.578948125012067, 7.392817566193642, 6.194429597835908, 4.759508645319634, -1.7868322283805733, 0.5559731308688075, -0.09746437966243292, 0.029118927496437973]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -0.6757701577126913, 1.2313237049813155, 0.5498998856635239, -0.692745013540053, -0.5224644695928357, -0.0027797457928142055, -1.3409328976335082]","[7.035282790014907, 6.211642369734093, 4.9616628533782094, -1.9187109127458486, 0.9899258199396375, -0.08470747702862134, 0.02708735589916016, -0.006657811410730476]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.9303376657169388, 1.0164214592291214, -0.6757701577126913, -0.971294743935333, -0.5717010513886703, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[-9.631707491988239, 7.565116838010497, 6.413232309847716, 4.879516686207123, -1.8239813788864803, 0.552586138316113, -0.15197453340315692, 0.027709847095512177]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.0164214592291214, -0.6757701577126913, -1.0266138406389769, 0.5498998856635239, -0.692745013540053, -0.0027797457928142055, -1.3409328976335082, 0.7736696085081787]","[7.344548375520418, 6.086696116920839, -5.212462665315367, -1.7730548618892255, 1.3759286183345012, 0.44667047457393333, 0.17076428356049786, 0.14291214402747304]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
10             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
10     1.367399      -1.77926                  -1.818599  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -1.7792596891790744, -0.49630400948336617, 0.4214539080410668, -1.1406223569845264, -1.81859854769385, 1.3673986785078533]","[-7.755529065337288, -6.257546336483796, -4.931523861392922, 3.2642160553126107, -2.570792282506853, -1.725406746695931, -0.44257106296862825, 0.006461377296394654]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
11              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
11     0.464621      1.231324                  -1.170532  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -0.6757701577126913, 1.2313237049813155, 0.2645715506234637, -0.41419528314477305, 0.5661415598030419, -1.1705315086433428, 0.4646214864607328]","[7.498763371580043, 6.333341969946576, 4.832238412554449, -1.620978691102966, 1.4283090099099627, 1.1728781019691046, -0.11351201000259935, -0.06528079950365298]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
12             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
12     0.464621     -1.026614                   1.421737  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.9718512345501338, -0.9838438483563932, 0.957784475498303, -1.0266138406389769, 0.9785533688316267, 1.421736647558686, -0.0027797457928142055, 0.4646214864607328]","[7.842601698398543, -7.323462437209079, -6.213541130221602, -5.291399993712903, -2.6658755555363585, 0.36039245940297304, 0.13566884070464286, -0.05394031722283009]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
13              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
13    -0.438156      1.231324                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -0.6757701577126913, 1.2313237049813155, 0.2645715506234637, -0.41419528314477305, 0.5661415598030419, -0.5224644695928357, -0.43815570558638767]","[7.522005637207993, 6.354247664252608, 4.705914529485631, -1.6337161158512352, 1.200636617910518, 0.9605831338502563, -0.31673754047088554, -0.025483263270382306]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
14              0.264572     -0.414195   0.566142   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
14    -0.438156      1.231324                   1.421737  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -0.6757701577126913, 1.2313237049813155, 0.2645715506234637, -0.41419528314477305, 0.5661415598030419, 1.421736647558686, -0.43815570558638767]","[7.510796661911194, 6.44243067489706, 5.020236861464283, -1.908674398166315, 1.2046809070612077, 0.5487874503195926, 0.4283407279703002, 0.04371379179651916]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
15              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
15     0.464621     -1.026614                    0.77367  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.9303376657169388, 1.0164214592291214, -0.6757701577126913, -1.0266138406389769, -0.971294743935333, -0.5717010513886703, 0.7736696085081787, 0.4646214864607328]","[-9.306975173500799, 7.357486797911297, 6.385699855430698, -5.243779820643391, 4.846216131380013, -1.798935408973813, 0.3349448474603277, -0.13253310329073956]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
16             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
16     1.367399     -1.026614                   0.125603  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -1.0266138406389769, -0.49630400948336617, 0.4214539080410668, -1.1406223569845264, 0.12560256945767148, 1.3673986785078533]","[-7.175825652503951, -6.294842013932962, -5.036624562996048, 3.4624099299108537, -2.6337295919512176, -1.5748378562131942, 0.020696744843704182, -0.01969336217884065]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
17              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
17     1.367399     -1.026614                  -1.170532  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation', 'Wall_Area']","[1.3107754457703538, 1.0164214592291214, -1.2202883687830228, -1.0266138406389769, -1.249844474330613, -1.1705315086433428, 1.3673986785078533, -0.0027797457928142055]","[-9.472394096815966, 7.4396378039806565, 6.296886778902257, -5.191204211156222, 4.775386214542852, -0.5515060775251978, -0.25022740806304944, 0.11404464752722189]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
18             -1.352289      1.535653   1.135063   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
18     1.367399      0.102355                    0.77367  ","['Relative_Compactness', 'Overall_Height', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[-1.3522890146035487, -0.9838438483563932, 0.957784475498303, 1.5356528296221867, 1.1350628653988981, 0.1023549321711691, 0.7736696085081787, 1.3673986785078533]","[7.935749628291789, -7.689941175469511, -6.213565734882692, -4.635636760567621, 2.0750458875854045, 0.7265761563608455, 0.4728801931630094, -0.024368227764995445]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
19             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
19    -0.438156      0.102355                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -0.49630400948336617, 0.4214539080410668, -1.1406223569845264, 0.1023549321711691, -0.5224644695928357, -0.43815570558638767]","[-7.530583352698277, -6.351978851753218, 3.3231716514161813, -2.4753555483163217, -1.55669862106798, 0.4362616846129997, -0.010793442558136513, 0.00624057723714455]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
20             -0.686523      0.700004  -0.571701   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
20    -0.438156      0.102355                   0.125603  ","['Overall_Height', 'Roof_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -0.6865228995100736, 0.7000036384363467, -0.5717010513886703, 0.1023549321711691, 0.12560256945767148, -0.43815570558638767]","[-7.461696683143841, -5.808093941756291, 3.3187849769330766, -2.3272150348822453, -1.838076839354794, 0.741270614971398, 0.11848551773993361, 0.0347267502172294]"
