instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[-0.9718512345501338, 1.2313237049813155, 0.957784475498303, -0.9838438483563932, 0.9785533688316267, -0.0027797457928142055, -0.43815570558638767, 0.12560256945767148]","[-5.2366409360147195, 4.2477279091509015, -4.105842046950089, -2.1225754934239722, -2.0309668770824505, -1.4868789411854055, 0.21624784897530785, 0.17013165820985313]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.21097567444330495, -1.0266138406389769, 0.957784475498303, -1.7095436625803826, -0.9838438483563932, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-6.272466636858909, -4.3399005263045405, -4.14847109573513, -2.4078754733045944, -2.230667764007442, 1.3325584803608275, 0.2238484261116281, -0.18477026387916384]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.2645715506234637, -1.0266138406389769, -0.6757701577126913, 0.5661415598030419, 1.0164214592291214, -0.41419528314477305, -0.5224644695928357, -0.43815570558638767]","[5.774624478084501, -4.297266847376892, 4.070358165393538, 3.718862352600581, 2.133257949289775, 1.1747496746903305, 0.1946965686412388, -0.04878637183227224]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Overall_Height', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.5498998856635239, -1.7792596891790744, -0.6757701577126913, 1.0164214592291214, -0.0027797457928142055, -0.692745013540053, -1.81859854769385, 0.4646214864607328]","[5.661113005739903, -4.360760662396257, 4.241930265623174, 2.254082935737811, -1.2935634258052349, 1.147130203806847, -0.4607537661065511, 0.18568680918544225]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Overall_Height', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.2313237049813155, -1.4925474743181886, 1.0164214592291214, -0.5717010513886703, -1.806943935121173, -1.1705315086433428, -0.43815570558638767]","[5.915380371347563, 4.196409588945742, 4.068829015370657, 2.355827935181538, -2.191604290103989, 1.830601507746831, -0.6822239914700503, -0.2217389308404965]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.3107754457703538, -1.0266138406389769, -1.2202883687830228, 1.0164214592291214, -1.249844474330613, -0.0027797457928142055, -0.5224644695928357, 1.3673986785078533]","[6.213217329066716, -4.334165522890489, 4.156936472208924, 2.1567592057873632, 1.8247338771917956, -1.1468780844942237, 0.15316462985405427, 0.04229221109762345]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Relative_Compactness', 'Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[2.0716510058771824, -1.4925474743181886, -0.5717010513886703, 1.0164214592291214, -1.806943935121173, 0.1023549321711691, 0.4646214864607328, -0.5224644695928357]","[6.123557016821138, 4.294014973916161, -2.481414989835612, 2.1057348917891736, 2.0428114931387524, 0.6473425115708065, 0.24028754257104823, 0.18923917426072717]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.5498998856635239, 1.2313237049813155, -0.6757701577126913, 1.0164214592291214, -0.692745013540053, -0.0027797457928142055, -0.5224644695928357, -1.3409328976335082]","[5.808269095238062, 4.4196491467960035, 4.143974760256314, 2.434225373523622, 1.3817030142706626, -1.340036949399643, 0.28285023163432843, -0.015084694351702621]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Relative_Compactness', 'Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[0.9303376657169388, -0.6757701577126913, -0.5717010513886703, 1.0164214592291214, -0.971294743935333, 0.1023549321711691, 1.3673986785078533, 0.12560256945767148]","[5.9788357848468054, 4.095269667715306, -2.3351005275326164, 2.2306214375372657, 1.835350218050414, 0.46604761380952703, -0.11134105068385851, -0.09410795261252376]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Relative_Compactness', 'Glazing_Area', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[0.5498998856635239, -1.0266138406389769, -0.6757701577126913, 1.0164214592291214, -0.692745013540053, -0.0027797457928142055, 0.7736696085081787, -1.3409328976335082]","[5.49687667434141, -4.313664067440923, 4.181303378074421, 2.2663997618151903, 1.2801010040310732, -1.2479266589088138, -0.029883447728595407, -0.028002954224780552]"
