instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation', 'Wall_Area']","[-0.9838438483563932, 0.957784475498303, 1.2313237049813155, 0.9785533688316267, -0.9718512345501338, 0.12560256945767148, -0.43815570558638767, -0.0027797457928142055]","[-3.089496363803084, -3.0516589459955297, 2.0115940452962358, -1.6436684338290783, -1.5565009711175706, 0.2134091601477719, 0.08923163306611492, 0.07115245254320479]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Wall_Area', 'Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-1.7095436625803826, -0.9838438483563932, 0.957784475498303, -1.0266138406389769, -0.21097567444330495, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-3.4055653948331592, -2.7281229247352003, -2.673360700339633, -1.9773817779645926, -0.6149888182696657, -0.5163578047467183, 0.07383471273990239, -0.047274645726318454]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Wall_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -1.0266138406389769, 0.5661415598030419, -0.6757701577126913, -0.41419528314477305, 0.2645715506234637, -0.5224644695928357, -0.43815570558638767]","[3.0841450956822474, -2.8389066061743944, 2.7868954536900294, 2.247132669962027, 1.1546839649653373, 0.9853741245860386, 0.48714004043645076, 0.35538326610884496]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Glazing_Area', 'Overall_Height', 'Roof_Area', 'Glazing_Area_Distribution', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation']","[-1.7792596891790744, 1.0164214592291214, -0.6757701577126913, -1.81859854769385, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, 0.4646214864607328]","[-5.1760561669143765, 2.3870821072646766, 1.6304387582745283, -1.4763903378695105, 0.9713197921148704, 0.8502204002760619, 0.42253385567632074, 0.14871083142978436]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Glazing_Area', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[1.2313237049813155, -1.4925474743181886, 1.0164214592291214, -1.806943935121173, 2.0716510058771824, -0.5717010513886703, -0.43815570558638767, -1.1705315086433428]","[2.8509389173249904, 2.6835370908181266, 2.0768688634409065, 1.151332423048622, 1.088556389863852, -0.7940722958527511, 0.3337546928639936, -0.10196988694998055]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Glazing_Area', 'Roof_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-1.0266138406389769, -1.2202883687830228, 1.0164214592291214, -1.249844474330613, 1.3107754457703538, -0.0027797457928142055, -0.5224644695928357, 1.3673986785078533]","[-2.846335626392703, 2.5895163764492897, 2.2831872213105586, 1.1251231379376816, 1.1197244357558613, 0.5779068530061693, 0.3469312835005507, -0.2589450376963982]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Roof_Area', 'Overall_Height', 'Wall_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[-1.4925474743181886, 1.0164214592291214, -0.5717010513886703, -1.806943935121173, 2.0716510058771824, 0.1023549321711691, -0.5224644695928357, 0.4646214864607328]","[2.6464054055047828, 2.050366683541844, -0.9696937645110699, 0.944547285648135, 0.8371807534792328, 0.696578865166952, 0.3643809914407976, 0.25065985181021766]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, -0.6757701577126913, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, -0.5224644695928357, -1.3409328976335082]","[2.910056589801143, 2.5663289372479525, 2.2437101722643638, 1.391563413767936, 1.2548276153877715, 0.7316850263531389, 0.586583607732134, -0.5083918194301882]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Overall_Height', 'Roof_Area', 'Wall_Area', 'Relative_Compactness', 'Surface_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -0.6757701577126913, -0.5717010513886703, 0.9303376657169388, -0.971294743935333, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[2.6806386343351742, 2.002713617946578, -1.4924307661197806, 1.40001055027198, 1.384517413833684, 0.6683457603925125, 0.5024410404645057, -0.2831359514928229]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, 0.7736696085081787, -1.3409328976335082]","[2.754606507608456, -2.369863154102409, 1.996703145168779, 1.1849807211535834, 1.0701595870568372, 0.6228917445305888, 0.45491631756516604, -0.17148531547988322]"
