instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[0.957784475498303, -0.9838438483563932, 1.2313237049813155, 0.9785533688316267, -0.9718512345501338, 0.12560256945767148, -0.0027797457928142055, -0.43815570558638767]","[-4.6706450791254905, -2.924781814121869, 2.8322249275070144, -0.980024955824776, -0.8813406010817948, 0.12425852624861407, 0.11382827403427463, -0.07587053081650971]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Roof_Area', 'Wall_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Orientation', 'Glazing_Area_Distribution']","[0.957784475498303, -1.7095436625803826, -1.0266138406389769, -0.9838438483563932, 0.14290417764578683, -0.21097567444330495, 0.4646214864607328, -0.5224644695928357]","[-4.597555786469306, -2.9713339444716462, -2.9036948873576818, -2.8662435113173745, 0.39845452254355185, -0.38507503677634813, -0.0455748691785876, -0.039231316672413065]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Wall_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, -1.0266138406389769, 1.0164214592291214, 0.5661415598030419, -0.41419528314477305, 0.2645715506234637, -0.5224644695928357, -0.43815570558638767]","[4.625960363715772, -2.871906673776123, 2.8178474762479824, 1.405839760771117, 0.3972540276702462, 0.22035859199720306, 0.030805791602099696, 0.010550940965724077]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.6757701577126913, -1.7792596891790744, 1.0164214592291214, -0.692745013540053, 0.5498998856635239, -0.0027797457928142055, -1.81859854769385, 0.4646214864607328]","[4.676259577797295, -2.9538130058403915, 2.69472434097823, 0.5574761149128723, 0.31341211904857874, 0.23623971189517606, -0.09266669431096046, -0.07304728262559275]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Roof_Area', 'Wall_Area', 'Overall_Height', 'Glazing_Area', 'Surface_Area', 'Relative_Compactness', 'Orientation', 'Glazing_Area_Distribution']","[-1.4925474743181886, -0.5717010513886703, 1.0164214592291214, 1.2313237049813155, -1.806943935121173, 2.0716510058771824, -0.43815570558638767, -1.1705315086433428]","[4.60565525844198, -3.0818906193201, 2.898598097777308, 2.6682744651905232, 1.6308924255676982, 1.126653572616263, 0.06250677736699095, 0.04445276919112786]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Roof_Area', 'Glazing_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Wall_Area', 'Orientation', 'Glazing_Area_Distribution']","[-1.2202883687830228, -1.0266138406389769, 1.0164214592291214, -1.249844474330613, 1.3107754457703538, -0.0027797457928142055, 1.3673986785078533, -0.5224644695928357]","[4.5715771789735005, -2.9550088802663237, 2.8796167094144294, 1.7101455755104304, 1.0875710934559628, 0.17473798824017092, 0.03893897287027331, -0.018958533408809597]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Roof_Area', 'Overall_Height', 'Wall_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[-1.4925474743181886, 1.0164214592291214, -0.5717010513886703, -1.806943935121173, 2.0716510058771824, 0.1023549321711691, 0.4646214864607328, -0.5224644695928357]","[4.67936454337759, 3.0230763944209205, -2.9883460189971665, 1.7266593779487505, 1.0798022192417076, 0.3825675756955645, 0.00822306311981686, -0.0031697459120958987]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Surface_Area', 'Wall_Area', 'Relative_Compactness', 'Orientation', 'Glazing_Area_Distribution']","[-0.6757701577126913, 1.0164214592291214, 1.2313237049813155, -0.692745013540053, -0.0027797457928142055, 0.5498998856635239, -1.3409328976335082, -0.5224644695928357]","[4.63221682306713, 3.047097183355846, 2.667408797720467, 0.4001372309092131, 0.21605594446204426, 0.17436519877178175, -0.1318247597313851, -0.03823121068361948]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Roof_Area', 'Wall_Area', 'Overall_Height', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area', 'Orientation', 'Glazing_Area_Distribution']","[-0.6757701577126913, -0.5717010513886703, 1.0164214592291214, -0.971294743935333, 0.9303376657169388, 0.1023549321711691, 1.3673986785078533, 0.12560256945767148]","[4.587392581185428, -3.1409302358481335, 2.9673163570825127, 1.8357344519798615, 1.0215448364582258, 0.36262728551790135, 0.048545898343265434, 0.010904959783460488]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Roof_Area', 'Overall_Height', 'Glazing_Area', 'Surface_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.6757701577126913, 1.0164214592291214, -1.0266138406389769, -0.692745013540053, 0.5498998856635239, 0.7736696085081787, -0.0027797457928142055, -1.3409328976335082]","[4.6862202343599, 2.996713408295128, -2.9052891285620652, 0.43463192743845486, 0.19683362505070734, 0.10392489347085886, 0.07595684117572439, 0.06989359257607061]"
