instance,features,values,scores
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
0             -0.971851      0.978553   -0.00278   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
0    -0.438156      1.231324                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[-0.9838438483563932, -0.9718512345501338, 0.957784475498303, 0.9785533688316267, 1.2313237049813155, 0.12560256945767148, -0.0027797457928142055, -0.43815570558638767]","[-7.679409920938239, 6.1674387946324085, -3.6339749015986347, -3.404216956191793, 3.16769622481062, 0.09575593427858475, 0.09106218876532646, 0.006672310608498044]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
1             -0.210976      0.142904  -1.709544   0.957784       -0.983844   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
1     0.464621     -1.026614                  -0.522464  ","['Overall_Height', 'Roof_Area', 'Glazing_Area', 'Relative_Compactness', 'Wall_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, 0.957784475498303, -1.0266138406389769, -0.21097567444330495, -1.7095436625803826, 0.14290417764578683, -0.5224644695928357, 0.4646214864607328]","[-7.679409920938253, -3.633974901598643, -2.771734196709299, 2.031687716924173, -1.6163538505845603, -0.8949661285319923, -0.06383728951905177, -0.013546812447550849]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
2              0.264572     -0.414195   0.566142   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
2    -0.438156     -1.026614                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Relative_Compactness', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, -1.0266138406389769, -0.6757701577126913, -0.41419528314477305, 0.5661415598030419, 0.2645715506234637, -0.5224644695928357, -0.43815570558638767]","[6.810042760077318, -2.7717341967092994, 1.9424571724657662, 0.7778677565745351, 0.6602008685486309, -0.5531567066434775, -0.06383728951905887, 0.006672310608502485]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
3                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
3     0.464621      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.7792596891790744, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, -1.81859854769385, -0.0027797457928142055, 0.4646214864607328]","[6.810042760077312, -4.751544337215928, -2.104063360784066, 1.9424571724657664, 1.6142846991278041, -0.38302373711432214, 0.09106218876532712, -0.013546812447559509]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
4              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
4    -0.438156      1.231324                  -1.170532  ","['Relative_Compactness', 'Overall_Height', 'Surface_Area', 'Roof_Area', 'Glazing_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.806943935121173, -1.4925474743181886, 1.2313237049813155, -0.5717010513886703, -1.1705315086433428, -0.43815570558638767]","[-10.375565516200542, 6.810042760077307, 4.959952469340864, 4.730673209497967, 3.1676962248106157, -0.4780764910179691, -0.22343051331668917, 0.006672310608494492]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
5              1.310775     -1.249844   -0.00278  -1.220288        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
5     1.367399     -1.026614                  -0.522464  ","['Overall_Height', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.3107754457703538, -1.2202883687830228, -1.249844474330613, -1.0266138406389769, -0.0027797457928142055, -0.5224644695928357, 1.3673986785078533]","[6.810042760077307, -6.239814438492307, 3.801267863820567, 3.2871185842343325, -2.7717341967092946, 0.09106218876533001, -0.06383728951905088, -0.033765935503607736]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
6              2.071651     -1.806944  -0.571701  -1.492547        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
6     0.464621      0.102355                  -0.522464  ","['Relative_Compactness', 'Overall_Height', 'Surface_Area', 'Roof_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[2.0716510058771824, 1.0164214592291214, -1.806943935121173, -1.4925474743181886, -0.5717010513886703, 0.1023549321711691, -0.5224644695928357, 0.4646214864607328]","[-10.375565516200545, 6.810042760077308, 4.959952469340862, 4.730673209497972, -0.4780764910179709, 0.19798101405066149, -0.06383728951905177, -0.013546812447560175]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
7                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
7    -1.340933      1.231324                  -0.522464  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 1.2313237049813155, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, -0.0027797457928142055, -0.5224644695928357, -1.3409328976335082]","[6.810042760077318, 3.1676962248106157, -2.1040633607840626, 1.942457172465767, 1.6142846991277988, 0.09106218876532957, -0.06383728951904999, 0.026891433664546938]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
8              0.930338     -0.971295  -0.571701   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
8     1.367399      0.102355                   0.125603  ","['Overall_Height', 'Relative_Compactness', 'Surface_Area', 'Roof_Area', 'Wall_Area', 'Glazing_Area', 'Glazing_Area_Distribution', 'Orientation']","[1.0164214592291214, 0.9303376657169388, -0.971294743935333, -0.6757701577126913, -0.5717010513886703, 0.1023549321711691, 0.12560256945767148, 1.3673986785078533]","[6.810042760077312, -4.171938899638185, 2.45070164168107, 1.9424571724657662, -0.47807649101797267, 0.19798101405065882, 0.09575593427858031, -0.03376593550360152]"
"   Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
9                0.5499     -0.692745   -0.00278   -0.67577        1.016421   

   Orientation  Glazing_Area  Glazing_Area_Distribution  
9    -1.340933     -1.026614                    0.77367  ","['Overall_Height', 'Glazing_Area', 'Relative_Compactness', 'Roof_Area', 'Surface_Area', 'Glazing_Area_Distribution', 'Wall_Area', 'Orientation']","[1.0164214592291214, -1.0266138406389769, 0.5498998856635239, -0.6757701577126913, -0.692745013540053, 0.7736696085081787, -0.0027797457928142055, -1.3409328976335082]","[6.81004276007731, -2.7717341967092937, -2.1040633607840653, 1.9424571724657644, 1.6142846991278041, 0.25534915807621505, 0.09106218876533534, 0.026891433664542497]"
"    Relative_Compactness  Surface_Area  Wall_Area  Roof_Area  Overall_Height  \
10             -0.496304      0.421454  -1.140622   0.957784       -0.983844   

    Orientation  Glazing_Area  Glazing_Area_Distribution  
10     1.367399      -1.77926                  -1.818599  ","['Overall_Height', 'Glazing_Area', 'Roof_Area', 'Relative_Compactness', 'Surface_Area', 'Wall_Area', 'Glazing_Area_Distribution', 'Orientation']","[-0.9838438483563932, -1.7792596891790744, 0.957784475498303, -0.49630400948336617, 0.4214539080410668, -1.1406223569845264, -1.81859854769385, 1.3673986785078533]","[-7.679409920938237, -4.751544337215925, -3.633974901598636, 3.582594371064761, -1.7313830710852667, -1.0472151708012776, -0.38302373711432125, -0.03376593550360596]"
